ID,Imię,Nazwisko,Płeć,Data urodzenia,Adres,Odznaki
22,Sebastian,Noszczyk,mężczyzna,22-11-1987,plac Rumiankowa 802 38-643 Rzeszów,['Mistrz Kodowania']
23,Janina,Salwin,kobieta,09-03-1998,pl. Rolnicza 21/68 12-542 Kalisz,"['Doskonały Komunikator', 'Technologiczny Wizjoner']"
24,Maksymilian,Fidler,mężczyzna,13-11-1990,ulica Łąkowa 88/02 69-342 Brzeg,[]
25,Miłosz,Huczko,mężczyzna,21-01-2005,aleja Poziomkowa 536 15-761 Bielsko-Biała,"['Doskonały Komunikator', 'Technologiczny Wizjoner', 'Ekspercki Analizator Danych', 'Zaangażowany Twórca']"
26,Damian,Nazar,mężczyzna,26-07-1985,al. Orzechowa 613 56-766 Łomża,"['Mistrz Kodowania', 'Ambitny Naukowiec', 'Mistrz Kodowania']"
27,Mikołaj,Broś,mężczyzna,27-08-2004,al. Batalionów Chłopskich 90 43-682 Malbork,['Mistrz Kodowania']
28,Leon,Ufniarz,mężczyzna,05-11-1984,al. Krakowska 84 65-607 Starachowice,['Guru Matematyki']
29,Sylwia,Szpila,kobieta,28-01-1995,al. Stroma 17/93 54-622 Starachowice,"['Technologiczny Wizjoner', 'Guru Matematyki', 'Guru Matematyki']"
30,Józef,Bartoszczyk,mężczyzna,30-07-1988,plac Wybickiego 218 51-305 Zamość,"['Ekspercki Analizator Danych', 'Innowacyjny Programista']"
31,Mikołaj,Martyka,mężczyzna,29-08-1994,pl. Orzeszkowej 65/02 29-201 Piła,"['Ambitny Naukowiec', 'Guru Matematyki', 'Ekspercki Analizator Danych']"
32,Stanisław,Welenc,mężczyzna,09-03-2003,al. Zakole 024 61-187 Mława,"['Technologiczny Wizjoner', 'Mistrz Kodowania', 'Ambitny Naukowiec']"
33,Sandra,Bondaruk,kobieta,07-06-1989,ul. Sokola 71 52-604 Knurów,[]
34,Kajetan,Rzeźniczek,mężczyzna,06-01-1999,ulica Poprzeczna 702 44-339 Świnoujście,"['Zaangażowany Twórca', 'Ambitny Naukowiec', 'Ambitny Naukowiec', 'Ekspercki Analizator Danych']"
35,Anna Maria,Dziewit,kobieta,12-04-1986,plac Wysoka 49 10-552 Lublin,"['Guru Matematyki', 'Zaangażowany Twórca']"
36,Artur,Hrabia,mężczyzna,17-02-1998,al. Rolnicza 995 89-283 Oleśnica,"['Zaangażowany Twórca', 'Ambitny Naukowiec', 'Doskonały Komunikator']"
37,Anna Maria,Stachewicz,kobieta,26-11-1985,plac Władysława Jagiełły 08 93-705 Słupsk,"['Ekspercki Analizator Danych', 'Technologiczny Wizjoner']"
38,Alex,Fidos,mężczyzna,27-03-1990,al. Bankowa 45 45-083 Zakopane,[]
39,Michał,Wiech,mężczyzna,21-02-1998,plac Odrzańska 538 78-957 Tomaszów Mazowiecki,['Doskonały Komunikator']
40,Alan,Świerszcz,mężczyzna,14-03-1997,ul. Pułaskiego 89/26 21-606 Czechowice-Dziedzice,[]
41,Alan,Stochmal,mężczyzna,20-09-2003,al. Słowackiego 50 97-036 Nowy Dwór Mazowiecki,[]
42,Ewa,Lubera,kobieta,14-02-1995,al. Nowa 504 28-132 Nowa Sól,"['Guru Matematyki', 'Mistrz Kodowania', 'Guru Matematyki']"
43,Artur,Lampart,mężczyzna,07-06-1993,al. Floriana 15 41-630 Tczew,"['Doskonały Komunikator', 'Zaangażowany Twórca', 'Technologiczny Wizjoner']"
44,Jerzy,Romejko,mężczyzna,11-05-1990,ul. Zwycięstwa 555 54-556 Koło,[]
45,Eryk,Ślebioda,mężczyzna,16-06-1983,ulica Słowianska 36/44 50-484 Gdańsk,"['Ambitny Naukowiec', 'Ekspercki Analizator Danych', 'Guru Matematyki']"
46,Marianna,Toczko,kobieta,12-12-1983,plac Zakole 98/74 44-672 Gliwice,"['Innowacyjny Programista', 'Zaangażowany Twórca']"
47,Adrian,Nyc,mężczyzna,13-06-1997,plac Gajowa 83 75-434 Starachowice,"['Innowacyjny Programista', 'Innowacyjny Programista', 'Guru Matematyki', 'Wielki Odkrywca']"
48,Franciszek,Delikat,mężczyzna,07-01-1998,pl. Żwirowa 51/44 87-768 Krosno,"['Wielki Odkrywca', 'Technologiczny Wizjoner', 'Ambitny Naukowiec']"
49,Bianka,Raba,kobieta,12-05-1997,aleja Krasickiego 83 17-504 Czechowice-Dziedzice,"['Guru Matematyki', 'Innowacyjny Programista', 'Ekspercki Analizator Danych', 'Ekspercki Analizator Danych']"
50,Robert,Łyczak,mężczyzna,21-08-2004,pl. Piłsudskiego 69/06 03-477 Siedlce,"['Mistrz Kodowania', 'Mistrz Kodowania', 'Ambitny Naukowiec', 'Innowacyjny Programista']"
51,Justyna,Boduch,kobieta,10-08-1991,plac Szarych Szeregów 50 17-427 Zamość,[]
52,Agnieszka,Piechura,kobieta,16-09-1983,plac Widokowa 05/09 80-363 Oświęcim,"['Mistrz Kodowania', 'Zaangażowany Twórca', 'Ekspercki Analizator Danych']"
53,Paweł,Chlipała,mężczyzna,20-12-1991,aleja Źródlana 68 71-929 Dąbrowa Górnicza,"['Zaangażowany Twórca', 'Ambitny Naukowiec']"
54,Paweł,Dukat,mężczyzna,30-05-1987,pl. Zaułek 928 72-016 Kołobrzeg,['Ekspercki Analizator Danych']
55,Tadeusz,Martyn,mężczyzna,17-08-2005,al. Rózana 687 90-209 Wejherowo,['Wielki Odkrywca']
56,Maks,Łaciak,mężczyzna,02-04-1998,aleja Podwale 34/56 15-471 Rybnik,['Kreatywny Problem Solver']
57,Mateusz,Hadała,mężczyzna,26-05-1988,ulica Stolarska 24 58-965 Kołobrzeg,['Ekspercki Analizator Danych']
58,Marcin,Pioch,mężczyzna,04-12-1993,al. Myśliwska 432 74-426 Zielona Góra,"['Mistrz Kodowania', 'Innowacyjny Programista']"
59,Borys,Sudak,mężczyzna,14-05-1989,ulica Graniczna 32/95 49-053 Kościerzyna,[]
60,Aleksander,Raźniak,mężczyzna,26-08-1984,al. Wąska 22/94 37-673 Koszalin,"['Ekspercki Analizator Danych', 'Technologiczny Wizjoner']"
61,Malwina,Kudela,kobieta,20-03-2003,aleja Spacerowa 49 45-680 Sieradz,"['Ambitny Naukowiec', 'Doskonały Komunikator']"
62,Marcelina,Łosiak,kobieta,22-04-2002,pl. Grabowa 82/12 30-919 Nowy Dwór Mazowiecki,['Mistrz Kodowania']
63,Róża,Golczyk,kobieta,05-12-1983,aleja Pałacowa 76/22 16-781 Ciechanów,['Wielki Odkrywca']
64,Stefan,Karpeta,mężczyzna,03-08-1995,pl. Młyńska 04/77 02-636 Pruszcz Gdański,"['Ambitny Naukowiec', 'Innowacyjny Programista']"
65,Tymon,Gwardiak,mężczyzna,23-05-1995,ulica Kolorowa 07/39 49-857 Oświęcim,['Technologiczny Wizjoner']
66,Paweł,Klin,mężczyzna,03-09-2004,pl. Odrzańska 188 97-742 Wałcz,"['Guru Matematyki', 'Ekspercki Analizator Danych', 'Zaangażowany Twórca', 'Doskonały Komunikator']"
67,Tomasz,Drewicz,mężczyzna,29-07-1993,aleja Lwowska 09/42 41-009 Pabianice,"['Ambitny Naukowiec', 'Zaangażowany Twórca']"
68,Oskar,Prokopiak,mężczyzna,22-12-2001,al. Niepodległości 69 40-041 Piła,[]
69,Grzegorz,Fołta,mężczyzna,09-03-1983,al. Turystyczna 89/94 63-538 Łódź,[]
70,Rafał,Gaudyn,mężczyzna,05-10-1983,pl. Szeroka 767 24-258 Białogard,"['Ekspercki Analizator Danych', 'Kreatywny Problem Solver']"
71,Cezary,Truchel,mężczyzna,08-06-1992,ul. Piaskowa 700 02-944 Szczecin,"['Ambitny Naukowiec', 'Technologiczny Wizjoner', 'Ekspercki Analizator Danych']"
72,Artur,Gąbka,mężczyzna,21-01-2001,plac Lotnicza 48/87 63-105 Sanok,"['Wielki Odkrywca', 'Zaangażowany Twórca', 'Innowacyjny Programista', 'Guru Matematyki']"
73,Inga,Suchta,kobieta,03-03-1998,ul. Bursztynowa 86 72-502 Gdańsk,"['Doskonały Komunikator', 'Guru Matematyki', 'Kreatywny Problem Solver']"
74,Apolonia,Kobos,kobieta,08-01-1989,plac Chmielna 01/66 07-265 Pszczyna,"['Doskonały Komunikator', 'Kreatywny Problem Solver']"
75,Norbert,Gapys,mężczyzna,06-01-2003,al. Dąbrowskiej 42/49 44-954 Suwałki,[]
76,Mateusz,Wieczerzak,mężczyzna,18-03-1985,aleja Podmiejska 51/23 92-475 Zabrze,"['Doskonały Komunikator', 'Ambitny Naukowiec', 'Mistrz Kodowania']"
77,Cyprian,Kurcz,mężczyzna,11-06-1983,pl. Sybiraków 08 79-946 Czechowice-Dziedzice,"['Mistrz Kodowania', 'Technologiczny Wizjoner']"
78,Jeremi,Godyń,mężczyzna,28-03-1999,aleja Wróblewskiego 33/90 05-120 Swarzędz,[]
79,Rozalia,Naczk,kobieta,14-08-1988,al. Żwirowa 409 18-666 Zgierz,"['Kreatywny Problem Solver', 'Guru Matematyki']"
80,Aurelia,Kościk,kobieta,04-04-1997,aleja Toruńska 56 11-699 Reda,"['Zaangażowany Twórca', 'Technologiczny Wizjoner']"
81,Melania,Kanik,kobieta,18-04-2004,aleja Kasprowicza 02 84-475 Inowrocław,"['Doskonały Komunikator', 'Wielki Odkrywca', 'Innowacyjny Programista', 'Mistrz Kodowania']"
82,Dariusz,Zyguła,mężczyzna,26-11-1987,pl. Truskawkowa 85/65 99-038 Bochnia,[]
83,Olaf,Wołodźko,mężczyzna,14-01-1996,pl. Szafirowa 91 46-960 Radom,['Innowacyjny Programista']
84,Leonard,Starościak,mężczyzna,27-09-1984,al. Paderewskiego 299 81-972 Wyszków,"['Ekspercki Analizator Danych', 'Mistrz Kodowania', 'Technologiczny Wizjoner', 'Kreatywny Problem Solver']"
85,Inga,Jaroch,kobieta,11-05-1999,ul. Rybacka 64/85 71-527 Kościerzyna,[]
86,Roksana,Fraś,kobieta,28-05-1995,pl. Zdrojowa 23/81 43-463 Swarzędz,"['Guru Matematyki', 'Kreatywny Problem Solver', 'Technologiczny Wizjoner']"
87,Łukasz,Banachowicz,mężczyzna,25-02-1983,aleja Szkolna 849 75-603 Opole,['Kreatywny Problem Solver']
88,Adam,Goliasz,mężczyzna,28-03-1990,pl. Klonowa 64 32-299 Sosnowiec,"['Mistrz Kodowania', 'Zaangażowany Twórca']"
89,Ewelina,Balawender,kobieta,16-02-2003,ulica Młynarska 936 13-115 Czerwionka-Leszczyny,['Technologiczny Wizjoner']
90,Mieszko,Szczechowicz,mężczyzna,10-11-1995,aleja Czereśniowa 89 10-661 Dąbrowa Górnicza,[]
91,Robert,Buksa,mężczyzna,12-02-1989,pl. Jeziorna 22/04 94-530 Płońsk,"['Ekspercki Analizator Danych', 'Zaangażowany Twórca', 'Ekspercki Analizator Danych']"
92,Fabian,Zbrzeźniak,mężczyzna,26-11-2000,plac Traugutta 33 95-467 Nysa,[]
93,Emil,Kutera,mężczyzna,05-04-2003,al. Jeziorna 02 45-225 Chełm,['Innowacyjny Programista']
94,Sonia,Karwan,kobieta,18-11-1985,plac Cicha 413 08-560 Kędzierzyn-Koźle,"['Kreatywny Problem Solver', 'Innowacyjny Programista', 'Guru Matematyki']"
95,Elżbieta,Jarczak,kobieta,30-03-1990,ul. Irysowa 519 20-439 Knurów,"['Ambitny Naukowiec', 'Zaangażowany Twórca', 'Technologiczny Wizjoner', 'Guru Matematyki']"
96,Ewa,Bródka,kobieta,25-03-1996,plac Graniczna 68/04 68-465 Biała Podlaska,['Ambitny Naukowiec']
97,Aurelia,Klęczar,kobieta,10-05-2000,al. Wierzbowa 84 66-423 Augustów,['Ambitny Naukowiec']
98,Jerzy,Szelest,mężczyzna,29-08-1985,plac Akacjowa 654 71-327 Łomża,['Doskonały Komunikator']
99,Elżbieta,Zamora,kobieta,10-03-2001,al. Strzelecka 56 93-948 Lubin,['Zaangażowany Twórca']
100,Filip,Dorynek,mężczyzna,11-12-2000,ul. Rózana 292 48-344 Siemianowice Śląskie,[]
101,Alex,Pilich,mężczyzna,08-09-1990,ul. Zacisze 72 79-571 Nowa Sól,['Ekspercki Analizator Danych']
102,Stanisław,Dziewa,mężczyzna,02-04-2001,pl. Solidarnosci 05 52-877 Tarnowskie Góry,"['Wielki Odkrywca', 'Guru Matematyki', 'Innowacyjny Programista', 'Zaangażowany Twórca']"
103,Julianna,Ratka,kobieta,05-07-1990,ul. Brzozowa 04/61 92-435 Śrem,"['Wielki Odkrywca', 'Doskonały Komunikator']"
104,Stefan,Twardzik,mężczyzna,19-12-1991,ulica Głowackiego 652 56-389 Środa Wielkopolska,[]
105,Melania,Michalkiewicz,kobieta,21-01-1989,plac Jesionowa 80/91 56-861 Nowy Dwór Mazowiecki,['Mistrz Kodowania']
106,Mieszko,Erdmann,mężczyzna,15-11-1997,ulica Żeromskiego 989 65-598 Zgorzelec,"['Doskonały Komunikator', 'Technologiczny Wizjoner', 'Ekspercki Analizator Danych', 'Technologiczny Wizjoner']"
107,Stefan,Pabisiak,mężczyzna,08-10-1999,al. Podgórna 78/24 43-168 Chełm,"['Doskonały Komunikator', 'Innowacyjny Programista', 'Wielki Odkrywca', 'Technologiczny Wizjoner']"
108,Mateusz,Mądro,mężczyzna,31-10-2001,al. Myśliwska 584 85-867 Ełk,"['Kreatywny Problem Solver', 'Ambitny Naukowiec', 'Doskonały Komunikator']"
109,Julianna,Kunda,kobieta,12-04-1994,aleja Młynarska 96/62 23-332 Czerwionka-Leszczyny,"['Ambitny Naukowiec', 'Technologiczny Wizjoner']"
110,Antoni,Godyń,mężczyzna,08-02-1996,plac Asnyka 64/97 96-290 Jarocin,[]
111,Krystyna,Hyjek,kobieta,31-07-1983,al. Srebrna 44/75 83-626 Lubartów,['Zaangażowany Twórca']
112,Ernest,Brańka,mężczyzna,04-11-1983,plac Cmentarna 339 52-650 Jarocin,"['Guru Matematyki', 'Technologiczny Wizjoner', 'Innowacyjny Programista']"
113,Jan,Gierek,mężczyzna,04-05-1991,aleja Turkusowa 194 82-210 Wołomin,"['Wielki Odkrywca', 'Technologiczny Wizjoner', 'Technologiczny Wizjoner']"
114,Franciszek,Lesner,mężczyzna,16-02-1983,al. Kossaka 55/54 55-411 Poznań,"['Doskonały Komunikator', 'Kreatywny Problem Solver', 'Guru Matematyki', 'Kreatywny Problem Solver']"
115,Konstanty,Fąferek,mężczyzna,23-09-1992,pl. Żeromskiego 756 06-606 Lublin,['Ambitny Naukowiec']
116,Antoni,Senger,mężczyzna,07-03-1986,al. Jagodowa 21 01-408 Mińsk Mazowiecki,"['Guru Matematyki', 'Kreatywny Problem Solver', 'Mistrz Kodowania', 'Wielki Odkrywca']"
117,Ksawery,Marchlewicz,mężczyzna,25-04-1997,aleja Majowa 912 21-367 Zielona Góra,"['Wielki Odkrywca', 'Zaangażowany Twórca', 'Doskonały Komunikator']"
118,Olgierd,Fedyk,mężczyzna,19-10-1992,ul. Radosna 08 89-512 Świętochłowice,"['Mistrz Kodowania', 'Guru Matematyki', 'Kreatywny Problem Solver']"
119,Marek,Maszota,mężczyzna,06-12-2004,ulica Akacjowa 994 99-598 Siedlce,"['Technologiczny Wizjoner', 'Doskonały Komunikator']"
120,Franciszek,Naglik,mężczyzna,25-03-1984,aleja Widokowa 974 48-533 Warszawa,['Technologiczny Wizjoner']
121,Albert,Malka,mężczyzna,15-02-1997,pl. Targowa 31 26-087 Starachowice,"['Innowacyjny Programista', 'Zaangażowany Twórca', 'Zaangażowany Twórca']"
122,Leon,Kosznik,mężczyzna,01-10-1984,ul. Korczaka 56 25-728 Świebodzice,[]
123,Monika,Olearczyk,kobieta,20-04-1992,pl. Reymonta 28 24-567 Cieszyn,"['Ambitny Naukowiec', 'Innowacyjny Programista', 'Ekspercki Analizator Danych']"
124,Agnieszka,Łodej,kobieta,03-03-1986,pl. Młyńska 73 86-418 Otwock,[]
125,Lidia,Proch,kobieta,13-07-1991,ul. Zielona 31/63 74-249 Środa Wielkopolska,"['Zaangażowany Twórca', 'Kreatywny Problem Solver', 'Ambitny Naukowiec', 'Innowacyjny Programista']"
126,Maksymilian,Widuch,mężczyzna,25-08-1984,pl. Jałowcowa 588 14-580 Bielsk Podlaski,['Technologiczny Wizjoner']
127,Borys,Słowiak,mężczyzna,02-04-1986,al. Mała 324 63-998 Krotoszyn,[]
128,Dariusz,Jezior,mężczyzna,15-11-2003,al. Dąbrowskiego 91 27-177 Swarzędz,"['Mistrz Kodowania', 'Technologiczny Wizjoner']"
129,Kazimierz,Trawka,mężczyzna,13-08-1985,ulica Podgórna 347 91-722 Poznań,"['Ambitny Naukowiec', 'Zaangażowany Twórca']"
130,Eliza,Kwapisiewicz,kobieta,27-06-2003,al. Maczka 997 59-862 Bełchatów,"['Doskonały Komunikator', 'Guru Matematyki']"
131,Agnieszka,Wydmuch,kobieta,08-07-1994,ul. Malczewskiego 03/70 78-286 Police,[]
132,Dorota,Świadek,kobieta,04-10-1999,plac Sucharskiego 498 32-303 Pabianice,"['Kreatywny Problem Solver', 'Technologiczny Wizjoner', 'Ekspercki Analizator Danych', 'Ekspercki Analizator Danych']"
133,Mariusz,Bachanek,mężczyzna,23-07-1983,aleja Nadrzeczna 33/91 52-819 Racibórz,['Mistrz Kodowania']
134,Jakub,Chuchla,mężczyzna,01-06-1983,plac Wypoczynkowa 973 86-228 Szczecin,['Technologiczny Wizjoner']
135,Olaf,Wawszczak,mężczyzna,19-04-1992,aleja Dąbrowskiej 11/23 08-301 Kętrzyn,[]
136,Marcin,Pierzak,mężczyzna,18-11-1990,ul. Promienna 90 70-125 Kościerzyna,[]
137,Miłosz,Gajcy,mężczyzna,20-03-1991,pl. Kaliska 01/88 91-672 Wieluń,['Kreatywny Problem Solver']
138,Bianka,Kafel,kobieta,25-07-1987,aleja Reymonta 29 52-020 Wągrowiec,"['Innowacyjny Programista', 'Ambitny Naukowiec', 'Wielki Odkrywca', 'Ambitny Naukowiec']"
139,Melania,Tryc,kobieta,17-11-1997,ul. Sienkiewicza 633 83-042 Piastów,"['Guru Matematyki', 'Innowacyjny Programista', 'Technologiczny Wizjoner', 'Kreatywny Problem Solver']"
140,Anastazja,Buszta,kobieta,29-12-2003,ul. Mazurska 42 08-648 Głogów,"['Mistrz Kodowania', 'Ambitny Naukowiec', 'Mistrz Kodowania']"
141,Roksana,Sztaba,kobieta,12-04-1993,aleja Krakowska 50 52-297 Łomża,"['Innowacyjny Programista', 'Technologiczny Wizjoner', 'Doskonały Komunikator']"
142,Bartek,Linek,mężczyzna,15-12-1997,al. Nadrzeczna 83/79 94-249 Głogów,"['Ambitny Naukowiec', 'Zaangażowany Twórca']"
143,Artur,Trzyna,mężczyzna,21-07-2005,plac Rejtana 02 97-932 Radom,['Guru Matematyki']
144,Fabian,Startek,mężczyzna,17-09-1990,ulica Porzeczkowa 09/13 17-771 Dębica,"['Ambitny Naukowiec', 'Zaangażowany Twórca', 'Mistrz Kodowania']"
145,Liwia,Wojak,kobieta,02-04-2002,ul. Letnia 619 84-856 Nysa,"['Wielki Odkrywca', 'Wielki Odkrywca', 'Ekspercki Analizator Danych']"
146,Józef,Błasik,mężczyzna,26-07-2003,ul. Mokra 377 14-743 Września,['Guru Matematyki']
147,Cyprian,Piotrak,mężczyzna,01-09-1987,ul. Rolna 04 25-326 Piastów,"['Wielki Odkrywca', 'Ambitny Naukowiec']"
148,Dorota,Frelich,kobieta,17-11-1982,ul. Jarzębinowa 96 79-530 Kielce,"['Doskonały Komunikator', 'Guru Matematyki', 'Wielki Odkrywca']"
149,Monika,Dubel,kobieta,28-02-1983,aleja Andersa 00 68-527 Olkusz,"['Ambitny Naukowiec', 'Mistrz Kodowania']"
150,Bruno,Wincenciak,mężczyzna,12-02-1998,plac Gajowa 65/86 66-785 Września,"['Ambitny Naukowiec', 'Innowacyjny Programista']"
151,Mateusz,Jajko,mężczyzna,08-05-1983,pl. Lisia 54 16-614 Sosnowiec,['Kreatywny Problem Solver']
152,Filip,Królczyk,mężczyzna,24-11-1987,plac Jagodowa 46 80-947 Kraśnik,[]
153,Klara,Drgas,kobieta,19-08-1986,pl. Słoneczna 368 82-816 Sosnowiec,"['Kreatywny Problem Solver', 'Kreatywny Problem Solver']"
154,Marianna,Hynek,kobieta,03-10-1986,plac Magnoliowa 78/04 23-489 Czeladź,[]
155,Franciszek,Wiak,mężczyzna,22-01-1995,aleja Podwale 20/58 68-982 Iława,"['Innowacyjny Programista', 'Kreatywny Problem Solver', 'Technologiczny Wizjoner', 'Mistrz Kodowania']"
156,Tymon,Penar,mężczyzna,30-07-1983,ulica Floriana 68 42-973 Wieluń,[]
157,Michał,Kuza,mężczyzna,11-08-2000,al. Brzoskwiniowa 167 49-927 Tarnów,['Wielki Odkrywca']
158,Iwo,Dyszkiewicz,mężczyzna,18-03-2000,ul. Głowackiego 99/22 60-360 Chojnice,['Zaangażowany Twórca']
159,Marcelina,Osojca,kobieta,27-04-1987,al. Władysława Jagiełły 37/42 71-885 Sanok,['Zaangażowany Twórca']
160,Paweł,Holewa,mężczyzna,10-04-1997,aleja Sportowa 654 62-036 Sopot,"['Mistrz Kodowania', 'Guru Matematyki', 'Wielki Odkrywca', 'Mistrz Kodowania']"
161,Cyprian,Smagacz,mężczyzna,26-09-1984,aleja Bukowa 88 45-661 Opole,['Innowacyjny Programista']
162,Arkadiusz,Teterycz,mężczyzna,28-05-1994,ulica Jana Pawła II 72/05 28-472 Środa Wielkopolska,"['Ambitny Naukowiec', 'Guru Matematyki']"
163,Kaja,Działak,kobieta,16-06-1986,ul. Szymanowskiego 99 09-627 Czeladź,"['Kreatywny Problem Solver', 'Innowacyjny Programista', 'Doskonały Komunikator', 'Mistrz Kodowania']"
164,Dorota,Pawliczak,kobieta,23-12-1995,ulica Listopada 37 77-366 Bielawa,['Guru Matematyki']
165,Karina,Dudała,kobieta,18-02-1990,pl. Krakowska 01/75 72-388 Wałbrzych,"['Wielki Odkrywca', 'Ambitny Naukowiec', 'Mistrz Kodowania', 'Mistrz Kodowania']"
166,Karol,Ludwik,mężczyzna,04-05-1985,aleja Żeglarska 53 50-261 Ruda Śląska,"['Ekspercki Analizator Danych', 'Doskonały Komunikator']"
167,Tadeusz,Miękus,mężczyzna,21-05-2003,aleja Grzybowa 93/93 19-929 Wałbrzych,"['Kreatywny Problem Solver', 'Technologiczny Wizjoner']"
168,Ada,Warczak,kobieta,06-01-1989,ulica Azaliowa 644 74-494 Zielona Góra,['Guru Matematyki']
169,Gaja,Wielgo,kobieta,12-06-1985,al. Jana Sobieskiego 85/64 53-292 Kluczbork,"['Mistrz Kodowania', 'Ambitny Naukowiec', 'Kreatywny Problem Solver']"
170,Janina,Senger,kobieta,11-12-1999,aleja Storczykowa 53/68 40-005 Rzeszów,"['Technologiczny Wizjoner', 'Ambitny Naukowiec']"
171,Kazimierz,Bembenek,mężczyzna,28-08-2003,ulica Plater 11/81 18-022 Ełk,"['Doskonały Komunikator', 'Technologiczny Wizjoner', 'Ambitny Naukowiec']"
172,Lidia,Nagórka,kobieta,02-04-1996,plac Orzechowa 64 70-136 Jawor,['Wielki Odkrywca']
173,Olgierd,Dacko,mężczyzna,01-09-2004,plac Fredry 72 96-181 Dębica,['Ambitny Naukowiec']
174,Alex,Mieszała,mężczyzna,08-05-1994,plac Władysława Łokietka 55/17 73-869 Łomża,"['Ambitny Naukowiec', 'Zaangażowany Twórca']"
175,Maurycy,Bracha,mężczyzna,03-06-1995,ulica Miłosza 35/10 25-444 Stalowa Wola,"['Ekspercki Analizator Danych', 'Zaangażowany Twórca', 'Technologiczny Wizjoner']"
176,Sebastian,Borkowicz,mężczyzna,24-08-1996,pl. Rolna 18 68-684 Grodzisk Mazowiecki,"['Guru Matematyki', 'Mistrz Kodowania']"
177,Maks,Orszulik,mężczyzna,18-08-1984,ul. Źródlana 73/43 78-703 Świętochłowice,"['Kreatywny Problem Solver', 'Innowacyjny Programista']"
178,Marek,Jędruch,mężczyzna,08-10-1997,ulica Jodłowa 08 28-048 Nowa Sól,['Ambitny Naukowiec']
179,Gustaw,Kiedrowicz,mężczyzna,04-01-1987,al. Nowowiejska 381 58-497 Gorlice,"['Kreatywny Problem Solver', 'Technologiczny Wizjoner']"
180,Patryk,Skierka,mężczyzna,19-05-1999,ul. Towarowa 005 43-067 Jaworzno,"['Zaangażowany Twórca', 'Ekspercki Analizator Danych']"
181,Filip,Gronkiewicz,mężczyzna,13-03-2000,ulica Rubinowa 028 27-093 Zduńska Wola,[]
