ID,Imię,Nazwisko,Płeć,Data urodzenia,Adres,Odznaki
30,Kajetan,Bryda,mężczyzna,08-05-1988,ulica Malczewskiego 383 89-042 Rumia,"['Technologiczny Wizjoner', 'Technologiczny Wizjoner', 'Innowacyjny Programista', 'Wielki Odkrywca']"
31,Karina,Hanke,kobieta,30-08-2002,ulica Czereśniowa 25 46-086 Włocławek,"['Innowacyjny Programista', 'Mistrz Kodowania', 'Zaangażowany Twórca']"
32,Ida,Drop,kobieta,24-06-1992,ulica Okrzei 841 91-215 Swarzędz,['Technologiczny Wizjoner']
33,Agnieszka,Stanclik,kobieta,04-03-1988,pl. Widok 86/99 46-344 Myszków,"['Ekspercki Analizator Danych', 'Technologiczny Wizjoner']"
34,Łukasz,Dytko,mężczyzna,17-04-2001,pl. Szpitalna 24 56-588 Augustów,"['Kreatywny Problem Solver', 'Zaangażowany Twórca', 'Ekspercki Analizator Danych']"
35,Nela,Drobniak,kobieta,04-04-2002,pl. Podgórna 388 11-586 Żary,"['Zaangażowany Twórca', 'Wielki Odkrywca']"
36,Mateusz,Szymańczak,mężczyzna,18-07-1999,plac Jagiellońska 782 99-468 Kraśnik,"['Mistrz Kodowania', 'Kreatywny Problem Solver']"
37,Eliza,Goliszek,kobieta,12-02-2002,plac Pszenna 58 85-962 Krotoszyn,[]
38,Nikodem,Melka,mężczyzna,11-06-1986,plac Moniuszki 152 63-472 Zgierz,"['Ekspercki Analizator Danych', 'Kreatywny Problem Solver', 'Zaangażowany Twórca']"
39,Sebastian,Keler,mężczyzna,08-10-1997,ul. Strażacka 50 70-160 Starogard Gdański,"['Ambitny Naukowiec', 'Technologiczny Wizjoner', 'Guru Matematyki', 'Ekspercki Analizator Danych']"
40,Kaja,Delekta,kobieta,14-11-1982,aleja Maczka 247 57-212 Bochnia,"['Innowacyjny Programista', 'Kreatywny Problem Solver', 'Zaangażowany Twórca', 'Doskonały Komunikator']"
41,Radosław,Filusz,mężczyzna,15-01-2005,aleja Podmiejska 418 67-208 Opole,"['Ekspercki Analizator Danych', 'Wielki Odkrywca']"
42,Karina,Rapa,kobieta,19-07-1990,ul. Powstańców Wielkopolskich 650 33-082 Myszków,['Ekspercki Analizator Danych']
43,Konstanty,Kajstura,mężczyzna,03-01-1989,ul. Storczykowa 19 53-396 Białogard,['Ambitny Naukowiec']
44,Witold,Brachman,mężczyzna,18-05-1999,aleja Ogrodowa 21 37-671 Kwidzyn,"['Zaangażowany Twórca', 'Guru Matematyki', 'Zaangażowany Twórca']"
45,Ewa,Sommer,kobieta,28-11-2002,al. Dworcowa 335 62-325 Giżycko,[]
46,Aleksander,Jajko,mężczyzna,24-03-1998,aleja Staszica 19 17-619 Kołobrzeg,"['Guru Matematyki', 'Ambitny Naukowiec']"
47,Adrianna,Reichel,kobieta,08-04-1987,pl. Wiejska 04/05 72-163 Biała Podlaska,"['Doskonały Komunikator', 'Ambitny Naukowiec', 'Ambitny Naukowiec']"
48,Tymon,Steinke,mężczyzna,23-12-1985,ulica Wrocławska 54 43-787 Ostrowiec Świętokrzyski,"['Wielki Odkrywca', 'Mistrz Kodowania', 'Innowacyjny Programista']"
49,Nela,Kędziorek,kobieta,06-06-1984,aleja Tuwima 421 19-378 Szczecinek,[]
50,Liwia,Kunert,kobieta,05-04-1996,al. Krokusowa 19/03 88-267 Ostróda,"['Doskonały Komunikator', 'Technologiczny Wizjoner']"
51,Aleksander,Hrynkiewicz,mężczyzna,04-08-1992,al. Wiklinowa 981 64-671 Konin,"['Doskonały Komunikator', 'Wielki Odkrywca', 'Guru Matematyki']"
52,Anna Maria,Żołądź,kobieta,09-12-2004,al. Truskawkowa 29/76 82-571 Polkowice,['Innowacyjny Programista']
53,Rafał,Okła,mężczyzna,17-02-1999,al. Zakątek 30 85-792 Suwałki,[]
54,Stefan,Haponiuk,mężczyzna,09-04-1998,al. Korfantego 072 64-633 Radomsko,['Ekspercki Analizator Danych']
55,Jerzy,Bryczek,mężczyzna,20-09-2001,pl. Zdrojowa 93 70-938 Opole,['Ambitny Naukowiec']
56,Urszula,Macha,kobieta,24-04-2003,ulica Azaliowa 42 74-376 Biłgoraj,"['Zaangażowany Twórca', 'Doskonały Komunikator', 'Technologiczny Wizjoner']"
57,Franciszek,Prażuch,mężczyzna,26-10-1996,pl. Malinowa 028 53-422 Starachowice,['Wielki Odkrywca']
58,Hubert,Olewniczak,mężczyzna,20-04-1992,ulica Wilcza 312 30-085 Kutno,"['Ambitny Naukowiec', 'Innowacyjny Programista']"
59,Tymoteusz,Poniedziałek,mężczyzna,17-01-2003,al. Rajska 271 03-786 Konin,[]
60,Bruno,Krefta,mężczyzna,21-06-1993,plac Topolowa 800 87-842 Radom,"['Guru Matematyki', 'Kreatywny Problem Solver', 'Guru Matematyki', 'Zaangażowany Twórca']"
61,Patryk,Biernacik,mężczyzna,02-07-1983,ulica Kaszubska 85 03-957 Szczecinek,[]
62,Ewelina,Maruszczyk,kobieta,15-06-2005,al. Błękitna 11 57-080 Lubliniec,['Innowacyjny Programista']
63,Liwia,Szczepaniec,kobieta,13-08-2002,ul. Niepodległości 25/96 67-296 Police,[]
64,Karol,Grzelczyk,mężczyzna,23-04-1988,ul. Krasińskiego 76/09 39-799 Iława,['Technologiczny Wizjoner']
65,Mariusz,Fogt,mężczyzna,12-05-1998,aleja Reja 37 69-197 Starachowice,"['Wielki Odkrywca', 'Wielki Odkrywca']"
66,Anastazja,Poczta,kobieta,28-08-1998,al. Graniczna 741 31-496 Ostrołęka,[]
67,Damian,Galek,mężczyzna,25-03-1990,pl. Szkolna 22 33-326 Jaworzno,"['Mistrz Kodowania', 'Mistrz Kodowania']"
68,Karol,Zuziak,mężczyzna,17-08-2002,aleja Stroma 41 98-519 Zambrów,"['Wielki Odkrywca', 'Zaangażowany Twórca', 'Zaangażowany Twórca', 'Wielki Odkrywca']"
69,Anastazja,Matraszek,kobieta,29-01-1990,al. Kossaka 69 82-412 Żory,[]
70,Olgierd,Nogieć,mężczyzna,10-04-1990,aleja Grottgera 906 51-094 Kraśnik,"['Ambitny Naukowiec', 'Technologiczny Wizjoner', 'Mistrz Kodowania']"
71,Olga,Toczko,kobieta,12-09-2001,plac Zielona 41 18-412 Bełchatów,['Guru Matematyki']
72,Dariusz,Kuryś,mężczyzna,25-09-1990,ulica Rajska 99 96-750 Przemyśl,['Doskonały Komunikator']
73,Jeremi,Krzyk,mężczyzna,23-06-1993,plac Miodowa 592 74-841 Dębica,"['Kreatywny Problem Solver', 'Wielki Odkrywca']"
74,Mariusz,Nieradzik,mężczyzna,11-08-1990,al. Gdańska 04/79 03-750 Brodnica,"['Wielki Odkrywca', 'Technologiczny Wizjoner']"
75,Andrzej,Janka,mężczyzna,23-06-1999,al. Bałtycka 13 18-234 Mińsk Mazowiecki,"['Ekspercki Analizator Danych', 'Mistrz Kodowania', 'Ambitny Naukowiec', 'Mistrz Kodowania']"
76,Dominik,Jałowiec,mężczyzna,07-03-1991,plac Miarki 58/17 11-844 Sieradz,['Innowacyjny Programista']
77,Sylwia,Dybiec,kobieta,22-12-1994,al. Jaworowa 912 24-686 Goleniów,"['Ekspercki Analizator Danych', 'Zaangażowany Twórca']"
78,Przemysław,Fąferek,mężczyzna,23-02-1986,ulica Kopernika 573 97-412 Kraśnik,[]
79,Urszula,Kostek,kobieta,26-03-2003,plac Klonowa 37 67-462 Brzeg,"['Ekspercki Analizator Danych', 'Doskonały Komunikator']"
80,Inga,Ochnik,kobieta,02-10-2000,ul. Wróblewskiego 42/73 17-379 Środa Wielkopolska,[]
81,Aleksander,Rejmer,mężczyzna,09-01-1997,al. Warszawska 87 71-387 Włocławek,[]
82,Maurycy,Gradek,mężczyzna,05-10-2004,pl. Krótka 534 90-004 Ruda Śląska,['Ekspercki Analizator Danych']
83,Karina,Litwinowicz,kobieta,15-07-2005,ul. Piastowska 42/77 11-870 Będzin,"['Doskonały Komunikator', 'Kreatywny Problem Solver']"
84,Maks,Drygas,mężczyzna,22-11-2004,pl. Stolarska 96 48-335 Głogów,"['Ekspercki Analizator Danych', 'Guru Matematyki', 'Technologiczny Wizjoner']"
85,Dawid,Stawczyk,mężczyzna,07-08-2004,aleja Okrzei 493 59-308 Stalowa Wola,"['Wielki Odkrywca', 'Kreatywny Problem Solver']"
86,Adam,Giec,mężczyzna,06-06-2004,ulica Morcinka 95 81-460 Piastów,"['Innowacyjny Programista', 'Technologiczny Wizjoner']"
87,Dagmara,Zagozda,kobieta,08-12-1991,aleja Leśna 76/05 46-995 Zawiercie,[]
88,Rafał,Wołoszczuk,mężczyzna,09-02-2002,al. Średnia 42 36-781 Wałcz,[]
89,Kamila,Such,kobieta,07-10-1999,pl. Dębowa 742 45-996 Pruszków,"['Kreatywny Problem Solver', 'Ambitny Naukowiec', 'Guru Matematyki', 'Doskonały Komunikator']"
90,Nikodem,Pronobis,mężczyzna,17-06-1987,aleja Andersa 27/85 21-207 Mikołów,"['Technologiczny Wizjoner', 'Zaangażowany Twórca', 'Mistrz Kodowania']"
91,Krystyna,Sztaba,kobieta,09-01-1996,plac Kraszewskiego 675 88-224 Czerwionka-Leszczyny,"['Kreatywny Problem Solver', 'Innowacyjny Programista', 'Zaangażowany Twórca']"
92,Maks,Romejko,mężczyzna,26-10-1985,ulica Strażacka 067 11-869 Gorlice,"['Mistrz Kodowania', 'Innowacyjny Programista', 'Kreatywny Problem Solver', 'Wielki Odkrywca']"
93,Oliwier,Fogel,mężczyzna,14-03-1993,plac Brzechwy 64 46-828 Skierniewice,"['Innowacyjny Programista', 'Mistrz Kodowania', 'Zaangażowany Twórca', 'Mistrz Kodowania']"
94,Jerzy,Rogula,mężczyzna,19-02-1986,aleja Wiślana 95/18 12-913 Kraśnik,[]
95,Tymon,Jakubaszek,mężczyzna,02-11-2000,pl. Leśna 32 72-473 Świdnica,['Ekspercki Analizator Danych']
96,Julian,Fiedler,mężczyzna,19-07-1998,pl. Lipowa 26 65-002 Świebodzice,"['Kreatywny Problem Solver', 'Innowacyjny Programista', 'Mistrz Kodowania', 'Ambitny Naukowiec']"
97,Sara,Niewiara,kobieta,02-03-2001,al. Królewska 398 02-551 Kościerzyna,"['Doskonały Komunikator', 'Doskonały Komunikator']"
98,Radosław,Stawowczyk,mężczyzna,19-09-1998,ulica Jagiellońska 92/50 49-243 Sandomierz,"['Guru Matematyki', 'Zaangażowany Twórca', 'Wielki Odkrywca']"
99,Kacper,Nowotny,mężczyzna,28-08-1995,ulica Wałowa 388 97-886 Gliwice,"['Guru Matematyki', 'Mistrz Kodowania']"
100,Iwo,Deneka,mężczyzna,05-03-2001,ulica Wojciecha 85/56 43-125 Białogard,"['Mistrz Kodowania', 'Ekspercki Analizator Danych']"
101,Anna Maria,Galica,kobieta,31-12-1988,aleja Dębowa 83/29 80-957 Police,['Zaangażowany Twórca']
102,Gabriel,Bicz,mężczyzna,20-06-1984,al. Lwowska 46/57 93-475 Kościan,[]
103,Szymon,Golczyk,mężczyzna,06-07-2000,ulica Przechodnia 73/12 18-946 Jastrzębie-Zdrój,"['Ambitny Naukowiec', 'Mistrz Kodowania']"
104,Stanisław,Dudko,mężczyzna,07-04-1993,aleja Głowackiego 19/61 41-251 Suwałki,['Kreatywny Problem Solver']
105,Krzysztof,Samson,mężczyzna,26-05-1984,aleja Kraszewskiego 19/60 36-613 Bielsko-Biała,"['Zaangażowany Twórca', 'Mistrz Kodowania']"
106,Bruno,Młodzik,mężczyzna,13-06-1983,aleja Jagodowa 79/85 58-351 Legnica,['Mistrz Kodowania']
107,Bartek,Subocz,mężczyzna,14-02-1986,ulica Chełmońskiego 265 23-844 Szczecinek,"['Doskonały Komunikator', 'Wielki Odkrywca', 'Zaangażowany Twórca']"
108,Nicole,Kamieniarz,mężczyzna,05-04-1984,al. Tylna 89 03-041 Mława,"['Mistrz Kodowania', 'Mistrz Kodowania', 'Wielki Odkrywca']"
109,Adam,Frankowicz,mężczyzna,04-06-2002,al. Fabryczna 85 88-923 Śrem,"['Mistrz Kodowania', 'Wielki Odkrywca']"
110,Angelika,Siewiera,kobieta,30-01-2005,plac Narutowicza 79 66-973 Chełm,[]
111,Kalina,Dziewior,kobieta,21-12-1987,al. Pogodna 526 91-404 Jarosław,[]
112,Oskar,Kujda,mężczyzna,29-01-1996,aleja Morelowa 664 17-630 Lubliniec,"['Mistrz Kodowania', 'Ambitny Naukowiec', 'Innowacyjny Programista']"
113,Marcel,Mędrala,mężczyzna,22-09-1986,plac Władysława Łokietka 38 40-590 Inowrocław,[]
114,Patryk,Domurad,mężczyzna,11-07-1994,ul. Krzywa 44 71-348 Tarnobrzeg,"['Ambitny Naukowiec', 'Guru Matematyki', 'Ambitny Naukowiec']"
115,Monika,Falba,kobieta,02-04-2005,ul. Sucharskiego 87/83 63-242 Środa Wielkopolska,"['Ekspercki Analizator Danych', 'Zaangażowany Twórca', 'Technologiczny Wizjoner', 'Innowacyjny Programista']"
116,Robert,Żółkiewicz,mężczyzna,02-03-1990,ulica Makuszyńskiego 621 81-989 Mielec,"['Kreatywny Problem Solver', 'Mistrz Kodowania', 'Ekspercki Analizator Danych', 'Zaangażowany Twórca']"
117,Urszula,Śmieja,kobieta,11-04-2004,aleja Hutnicza 462 56-909 Ząbki,"['Mistrz Kodowania', 'Ambitny Naukowiec', 'Zaangażowany Twórca', 'Zaangażowany Twórca']"
118,Adrian,Podeszwa,mężczyzna,15-12-1987,ulica Skargi 17 50-150 Rybnik,"['Innowacyjny Programista', 'Ekspercki Analizator Danych']"
119,Kornelia,Damian,kobieta,27-09-2001,al. Narutowicza 78 97-816 Gorzów Wielkopolski,"['Guru Matematyki', 'Innowacyjny Programista', 'Doskonały Komunikator', 'Technologiczny Wizjoner']"
120,Aleksander,Ochal,mężczyzna,19-03-1996,al. Srebrna 655 95-061 Żory,"['Technologiczny Wizjoner', 'Technologiczny Wizjoner', 'Zaangażowany Twórca', 'Kreatywny Problem Solver']"
121,Krystian,Fronczek,mężczyzna,30-07-1991,al. Szafirowa 139 66-761 Bochnia,"['Ekspercki Analizator Danych', 'Wielki Odkrywca', 'Mistrz Kodowania', 'Innowacyjny Programista']"
122,Bartek,Bilewicz,mężczyzna,22-12-1986,ul. Baczynskiego 67 85-861 Biłgoraj,"['Ekspercki Analizator Danych', 'Technologiczny Wizjoner']"
123,Urszula,Moryc,kobieta,11-06-2003,aleja Pomorska 095 24-819 Kędzierzyn-Koźle,"['Innowacyjny Programista', 'Guru Matematyki', 'Wielki Odkrywca']"
124,Konstanty,Troka,mężczyzna,06-01-1991,ul. Staffa 18/24 13-856 Wrocław,"['Innowacyjny Programista', 'Wielki Odkrywca']"
125,Karina,Sznura,kobieta,21-12-2002,al. Strażacka 60 95-856 Zgorzelec,"['Innowacyjny Programista', 'Technologiczny Wizjoner']"
126,Artur,Magryta,mężczyzna,02-02-1992,aleja Maczka 11/09 43-733 Jarosław,"['Innowacyjny Programista', 'Doskonały Komunikator']"
127,Łukasz,Letkiewicz,mężczyzna,29-09-1997,plac Kosynierów 795 83-808 Kluczbork,"['Kreatywny Problem Solver', 'Ekspercki Analizator Danych', 'Wielki Odkrywca', 'Doskonały Komunikator']"
128,Agnieszka,Detka,kobieta,08-11-1989,ulica Fiołkowa 04 17-100 Żary,['Ambitny Naukowiec']
129,Klara,Mrózek,kobieta,18-06-2002,plac Słonecznikowa 51 15-449 Kielce,"['Technologiczny Wizjoner', 'Guru Matematyki', 'Mistrz Kodowania']"
130,Fryderyk,Gryszkiewicz,mężczyzna,17-04-1995,aleja Jagiellońska 33 52-988 Jaworzno,"['Ekspercki Analizator Danych', 'Technologiczny Wizjoner', 'Guru Matematyki', 'Kreatywny Problem Solver']"
131,Mikołaj,Kopa,mężczyzna,29-02-2004,aleja Poziomkowa 45 74-560 Łowicz,"['Ekspercki Analizator Danych', 'Ekspercki Analizator Danych']"
132,Justyna,Winek,kobieta,26-09-1983,plac Głogowa 65/09 65-456 Legionowo,"['Zaangażowany Twórca', 'Ambitny Naukowiec']"
133,Blanka,Morka,kobieta,01-10-1996,al. Młynarska 56 37-092 Wrocław,['Ambitny Naukowiec']
134,Natan,Maciocha,mężczyzna,30-11-1995,ul. Fiołkowa 08/26 45-421 Lubartów,[]
135,Maksymilian,Szmajda,mężczyzna,19-05-1991,al. Staszica 367 65-997 Wejherowo,"['Wielki Odkrywca', 'Guru Matematyki']"
136,Jan,Dziuban,mężczyzna,30-04-1984,ul. Borowa 677 21-848 Sieradz,"['Doskonały Komunikator', 'Zaangażowany Twórca']"
137,Mieszko,Getka,mężczyzna,28-02-1986,plac Mazurska 85 66-252 Zambrów,['Zaangażowany Twórca']
138,Jan,Frukacz,mężczyzna,20-11-1984,ulica Stawowa 33 61-998 Kędzierzyn-Koźle,"['Technologiczny Wizjoner', 'Ambitny Naukowiec', 'Innowacyjny Programista']"
139,Nela,Jędruszczak,kobieta,05-11-1993,al. Glówna 094 59-140 Swarzędz,"['Zaangażowany Twórca', 'Innowacyjny Programista', 'Kreatywny Problem Solver']"
140,Aleksander,Lampart,mężczyzna,16-12-1999,aleja Spokojna 642 01-631 Żory,"['Zaangażowany Twórca', 'Zaangażowany Twórca', 'Ambitny Naukowiec']"
141,Bruno,Szwaja,mężczyzna,05-06-1988,pl. Kasztanowa 24 72-322 Zgierz,"['Mistrz Kodowania', 'Technologiczny Wizjoner', 'Doskonały Komunikator', 'Doskonały Komunikator']"
142,Apolonia,Bareja,kobieta,16-09-1984,pl. Zakątek 73 76-828 Pruszcz Gdański,['Guru Matematyki']
143,Ignacy,Grunt,mężczyzna,27-04-1994,aleja Widok 63 09-686 Gniezno,[]
144,Artur,Drobny,mężczyzna,26-01-2005,al. Turystyczna 77/56 01-317 Otwock,['Innowacyjny Programista']
145,Gaja,Prostak,kobieta,04-06-1992,aleja Czarnieckiego 61 89-262 Sieradz,[]
146,Justyna,Sajnóg,kobieta,05-04-1991,plac Floriana 848 07-402 Szczecin,"['Kreatywny Problem Solver', 'Guru Matematyki', 'Wielki Odkrywca', 'Ekspercki Analizator Danych']"
147,Iwo,Sztaba,mężczyzna,05-02-2005,al. Cedrowa 56 74-365 Poznań,['Doskonały Komunikator']
148,Marianna,Giedrojć,kobieta,11-01-1991,aleja Szymanowskiego 74 86-982 Kielce,"['Technologiczny Wizjoner', 'Ekspercki Analizator Danych', 'Mistrz Kodowania', 'Wielki Odkrywca']"
149,Natasza,Szałkiewicz,kobieta,28-10-1993,al. Brzozowa 676 94-373 Krosno,"['Ekspercki Analizator Danych', 'Ambitny Naukowiec', 'Technologiczny Wizjoner']"
150,Eryk,Teterycz,mężczyzna,03-05-1995,pl. Rynek 68 43-529 Zgorzelec,[]
151,Eryk,Masiak,mężczyzna,30-04-1997,ul. Zielna 71 96-791 Chełm,"['Doskonały Komunikator', 'Technologiczny Wizjoner', 'Wielki Odkrywca']"
152,Patryk,Kurzak,mężczyzna,04-11-1992,aleja Pogodna 08 47-366 Zgierz,"['Technologiczny Wizjoner', 'Zaangażowany Twórca', 'Technologiczny Wizjoner']"
153,Ewelina,Mazepa,kobieta,07-04-1987,pl. Mokra 15 37-871 Sieradz,['Kreatywny Problem Solver']
154,Marika,Szmagaj,kobieta,12-07-1987,al. Szeroka 656 40-442 Kraków,[]
155,Wojciech,Matynia,mężczyzna,13-02-1994,ulica Słonecznikowa 738 86-248 Świebodzice,"['Kreatywny Problem Solver', 'Wielki Odkrywca', 'Zaangażowany Twórca', 'Ambitny Naukowiec']"
156,Adam,Idzi,mężczyzna,02-06-2003,aleja Rycerska 655 76-654 Lublin,"['Ekspercki Analizator Danych', 'Ambitny Naukowiec']"
157,Ignacy,Fiołka,mężczyzna,22-01-1988,aleja Górnicza 445 93-548 Gdynia,"['Ekspercki Analizator Danych', 'Wielki Odkrywca']"
158,Dawid,Mały,mężczyzna,22-05-1988,plac Tysiąclecia 470 95-136 Chrzanów,['Mistrz Kodowania']
159,Leon,Kunda,mężczyzna,02-06-1998,pl. Ceglana 564 86-751 Lubin,[]
160,Marcel,Kosowicz,mężczyzna,17-04-2001,ulica Sosnowa 83/73 18-465 Żary,[]
161,Aurelia,Fidler,kobieta,12-03-1987,ulica Akacjowa 20/40 56-005 Grodzisk Mazowiecki,"['Technologiczny Wizjoner', 'Technologiczny Wizjoner']"
162,Przemysław,Chylak,mężczyzna,21-08-1997,aleja Ściegiennego 223 93-731 Elbląg,['Zaangażowany Twórca']
163,Andrzej,Penar,mężczyzna,13-07-1992,ul. Władysława Łokietka 331 81-443 Żagań,"['Kreatywny Problem Solver', 'Guru Matematyki', 'Doskonały Komunikator', 'Wielki Odkrywca']"
164,Anna Maria,Orpel,kobieta,02-07-1996,pl. Górna 66 90-572 Czechowice-Dziedzice,"['Kreatywny Problem Solver', 'Innowacyjny Programista']"
165,Ewelina,Mieloch,kobieta,08-05-2000,pl. Jesienna 267 21-502 Chełm,"['Innowacyjny Programista', 'Doskonały Komunikator', 'Doskonały Komunikator', 'Guru Matematyki']"
166,Eryk,Dziedzina,mężczyzna,02-03-2002,plac Mazurska 84/85 46-671 Zawiercie,"['Wielki Odkrywca', 'Wielki Odkrywca']"
167,Dagmara,Koronkiewicz,kobieta,08-02-1997,al. Jastrzębia 741 73-020 Piotrków Trybunalski,[]
168,Dominik,Lelito,mężczyzna,14-12-1983,ul. Brzozowa 12 44-943 Żary,"['Mistrz Kodowania', 'Wielki Odkrywca', 'Kreatywny Problem Solver']"
169,Józef,Mejer,mężczyzna,27-08-1984,ul. Jana Sobieskiego 79/33 68-033 Jawor,['Ekspercki Analizator Danych']
170,Blanka,Baumgart,kobieta,01-10-2005,pl. Ptasia 26/75 01-793 Szczecinek,"['Guru Matematyki', 'Zaangażowany Twórca', 'Kreatywny Problem Solver']"
171,Anita,Szwałek,kobieta,12-12-1987,aleja Żeglarska 457 55-776 Wrocław,"['Technologiczny Wizjoner', 'Mistrz Kodowania', 'Kreatywny Problem Solver']"
172,Paweł,Nagórka,mężczyzna,08-01-1994,ul. Błękitna 734 40-886 Bartoszyce,"['Guru Matematyki', 'Kreatywny Problem Solver']"
173,Emil,Tabak,mężczyzna,02-04-2001,al. Olchowa 808 13-392 Łódź,"['Ambitny Naukowiec', 'Innowacyjny Programista']"
174,Dariusz,Cader,mężczyzna,28-01-1992,pl. Poziomkowa 04/68 44-094 Giżycko,['Technologiczny Wizjoner']
175,Malwina,Chwedoruk,kobieta,26-12-1995,plac Poniatowskiego 802 39-601 Pruszcz Gdański,"['Mistrz Kodowania', 'Kreatywny Problem Solver']"
176,Aleksander,Chlebek,mężczyzna,26-08-1988,al. Lotnicza 427 58-900 Przemyśl,['Ekspercki Analizator Danych']
177,Dorota,Smyl,kobieta,28-04-1997,ulica Jagiellońska 674 32-543 Lublin,[]
178,Nela,Margol,kobieta,15-04-1999,aleja Fredry 37/58 63-625 Świdnica,"['Zaangażowany Twórca', 'Doskonały Komunikator', 'Innowacyjny Programista', 'Kreatywny Problem Solver']"
179,Mariusz,Klyszcz,mężczyzna,06-06-1985,pl. Ceglana 84 83-867 Wałbrzych,"['Wielki Odkrywca', 'Ambitny Naukowiec', 'Innowacyjny Programista', 'Mistrz Kodowania']"
