ID,Imie,Nazwisko,Wydzia³,Katedra,Tytu³ naukowy,email
16,Julita,Oleksiuk,Wydzia³ Oceanotechniki i Okrêtownictwa,Katedra Sieci Teleinformacyjnych,profesor,julita.oleksiuk@studentbook.com
17,Miko³aj,Gêbura,Wydzia³ In¿ynierii L¹dowej i Œrodowiska,Katedra In¿ynierii Biomedycznej,doktor,miko³aj.gêbura@studentbook.com
18,Jeremi,Albin,Wydzia³ In¿ynierii L¹dowej i Œrodowiska,Katedra Inteligentnych Systemów Interaktywnych,in¿ynier,jeremi.albin@studentbook.com
19,Sylwia,Swaczyna,Wydzia³ Mechaniczny,Katedra Systemów Multimedialnych,doktor,sylwia.swaczyna@studentbook.com
20,Micha³,Chojak,Wydzia³ In¿ynierii L¹dowej i Œrodowiska,Katedra Systemów Geoinformatycznych,doktor,micha³.chojak@studentbook.com
21,Ignacy,£uksza,Wydzia³ Oceanotechniki i Okrêtownictwa,Katedra In¿ynierii Materia³ów Funkcjonalnych,doktor habilitowny,ignacy.³uksza@studentbook.com
22,Sylwia,Bylina,Wydzia³ In¿ynierii L¹dowej i Œrodowiska,Katedra Teleinformatyki,doktor,sylwia.bylina@studentbook.com
23,Krzysztof,Mudlaff,Wydzia³ Oceanotechniki i Okrêtownictwa,Katedra Sygna³ów i Systemów,in¿ynier,krzysztof.mudlaff@studentbook.com
24,Rozalia,Kalisiak,Wydzia³ Chemiczny,Katedra In¿ynierii Materia³ów Funkcjonalnych,doktor habilitowny,rozalia.kalisiak@studentbook.com
25,Grzegorz,Kupidura,Wydzia³ Chemiczny,Katedra Teleinformatyki,in¿ynier,grzegorz.kupidura@studentbook.com
26,Patryk,Obarzanek,Wydzia³ Oceanotechniki i Okrêtownictwa,Katedra In¿ynierii Oprogramowania,doktor,patryk.obarzanek@studentbook.com
27,Julian,Zackiewicz,Wydzia³ Architektury,Katedra Sygna³ów i Systemów,magister,julian.zackiewicz@studentbook.com
28,Sebastian,Pleœniak,Wydzia³ Elektrotechniki i Automatyki,Katedra Systemów Decyzyjnych i Robotyki,doktor habilitowny,sebastian.pleœniak@studentbook.com
29,Olaf,Dyszkiewicz,Wydzia³ In¿ynierii L¹dowej i Œrodowiska,Katedra Systemów Multimedialnych,doktor habilitowny,olaf.dyszkiewicz@studentbook.com
30,Franciszek,Tereszkiewicz,Wydzia³ Elektrotechniki i Automatyki,Katedra In¿ynierii Materia³ów Funkcjonalnych,doktor,franciszek.tereszkiewicz@studentbook.com
31,Krystyna,Kabala,Wydzia³ Architektury,Katedra Systemów Decyzyjnych i Robotyki,in¿ynier,krystyna.kabala@studentbook.com
32,Jerzy,Zajko,Wydzia³ Architektury,Katedra In¿ynierii Mikrofalowej i Antenowej,doktor habilitowny,jerzy.zajko@studentbook.com
33,Jakub,Biesaga,Wydzia³ Elektroniki Telekomunikacji i Informatyki,Katedra Metrologii i Optoelektroniki,magister,jakub.biesaga@studentbook.com
34,Maciej,Prystupa,Wydzia³ Elektroniki Telekomunikacji i Informatyki,Katedra Systemów Mikroelektronicznych,profesor,maciej.prystupa@studentbook.com
35,Sonia,Konat,Wydzia³ Chemiczny,Katedra Systemów Decyzyjnych i Robotyki,in¿ynier,sonia.konat@studentbook.com
36,Dariusz,Liss,Wydzia³ Fizyki Technicznej i Matematyki Stosowanej,Katedra In¿ynierii Mikrofalowej i Antenowej,profesor,dariusz.liss@studentbook.com
37,Gaja,Borzych,Wydzia³ Mechaniczny,Katedra Systemów Geoinformatycznych,doktor habilitowny,gaja.borzych@studentbook.com
38,Apolonia,Szarpak,Wydzia³ Elektroniki Telekomunikacji i Informatyki,Katedra Systemów Geoinformatycznych,in¿ynier,apolonia.szarpak@studentbook.com
39,Hubert,Œli¿,Wydzia³ Elektrotechniki i Automatyki,Katedra Teleinformatyki,doktor habilitowny,hubert.œli¿@studentbook.com
40,Malwina,Tuzimek,Wydzia³ Elektroniki Telekomunikacji i Informatyki,Katedra Sieci Teleinformacyjnych,in¿ynier,malwina.tuzimek@studentbook.com
41,Maciej,Celuch,Wydzia³ Fizyki Technicznej i Matematyki Stosowanej,Katedra Systemów i Sieci Radiokomunikacyjnych,in¿ynier,maciej.celuch@studentbook.com
42,Marianna,£uszczak,Wydzia³ Fizyki Technicznej i Matematyki Stosowanej,Katedra Algorytmów i Modelowania Systemów,magister,marianna.³uszczak@studentbook.com
43,Gabriel,Wyrwa³,Wydzia³ Elektroniki Telekomunikacji i Informatyki,Katedra Systemów Multimedialnych,doktor,gabriel.wyrwa³@studentbook.com
44,Cezary,Wy³upek,Wydzia³ Oceanotechniki i Okrêtownictwa,Katedra In¿ynierii Mikrofalowej i Antenowej,in¿ynier,cezary.wy³upek@studentbook.com
45,Damian,Haremza,Wydzia³ Chemiczny,Katedra Inteligentnych Systemów Interaktywnych,profesor,damian.haremza@studentbook.com
46,Anna Maria,Wojtasiewicz,Wydzia³ Oceanotechniki i Okrêtownictwa,Katedra Metrologii i Optoelektroniki,in¿ynier,anna maria.wojtasiewicz@studentbook.com
47,Malwina,Mojsa,Wydzia³ Mechaniczny,Katedra Systemów Mikroelektronicznych,in¿ynier,malwina.mojsa@studentbook.com
48,Jeremi,Latuszek,Wydzia³ Zarz¹dzania i Ekonomi,Katedra Architektury Systemów Komputerowych,in¿ynier,jeremi.latuszek@studentbook.com
49,Andrzej,Rurarz,Wydzia³ Oceanotechniki i Okrêtownictwa,Katedra In¿ynierii Biomedycznej,doktor,andrzej.rurarz@studentbook.com
50,Sara,Nurek,Wydzia³ Mechaniczny,Katedra Sieci Teleinformacyjnych,doktor habilitowny,sara.nurek@studentbook.com
51,Fryderyk,Madajczyk,Wydzia³ Elektroniki Telekomunikacji i Informatyki,Katedra Sieci Teleinformacyjnych,magister,fryderyk.madajczyk@studentbook.com
52,Maciej,Bakalarczyk,Wydzia³ Chemiczny,Katedra Systemów Mikroelektronicznych,profesor,maciej.bakalarczyk@studentbook.com
53,Dagmara,Palus,Wydzia³ Elektrotechniki i Automatyki,Katedra Systemów i Sieci Radiokomunikacyjnych,doktor habilitowny,dagmara.palus@studentbook.com
54,Daniel,Czupryna,Wydzia³ Chemiczny,Katedra Systemów i Sieci Radiokomunikacyjnych,magister,daniel.czupryna@studentbook.com
55,Miko³aj,Drej,Wydzia³ Elektrotechniki i Automatyki,Katedra Architektury Systemów Komputerowych,in¿ynier,miko³aj.drej@studentbook.com
56,Marcin,Adamów,Wydzia³ Fizyki Technicznej i Matematyki Stosowanej,Katedra Systemów i Sieci Radiokomunikacyjnych,magister,marcin.adamów@studentbook.com
57,Juliusz,B³a¿ejak,Wydzia³ Oceanotechniki i Okrêtownictwa,Katedra Architektury Systemów Komputerowych,magister,juliusz.b³a¿ejak@studentbook.com
58,Fabian,Gogacz,Wydzia³ Chemiczny,Katedra Sieci Teleinformacyjnych,in¿ynier,fabian.gogacz@studentbook.com
59,Monika,Pal,Wydzia³ Elektrotechniki i Automatyki,Katedra Teleinformatyki,profesor,monika.pal@studentbook.com
60,Aurelia,Nieradzik,Wydzia³ Oceanotechniki i Okrêtownictwa,Katedra Systemów Mikroelektronicznych,doktor habilitowny,aurelia.nieradzik@studentbook.com
61,Witold,Maæków,Wydzia³ Elektroniki Telekomunikacji i Informatyki,Katedra Teleinformatyki,profesor,witold.maæków@studentbook.com
62,Ryszard,Luberda,Wydzia³ Oceanotechniki i Okrêtownictwa,Katedra Systemów i Sieci Radiokomunikacyjnych,doktor habilitowny,ryszard.luberda@studentbook.com
63,Piotr,Ferdyn,Wydzia³ Oceanotechniki i Okrêtownictwa,Katedra In¿ynierii Mikrofalowej i Antenowej,in¿ynier,piotr.ferdyn@studentbook.com
64,Aniela,Wudarczyk,Wydzia³ Oceanotechniki i Okrêtownictwa,Katedra Systemów Decyzyjnych i Robotyki,profesor,aniela.wudarczyk@studentbook.com
65,Konrad,Radzewicz,Wydzia³ Elektrotechniki i Automatyki,Katedra Systemów Multimedialnych,doktor,konrad.radzewicz@studentbook.com
66,Ignacy,Bruœ,Wydzia³ Mechaniczny,Katedra In¿ynierii Biomedycznej,profesor,ignacy.bruœ@studentbook.com
67,Marianna,ZbrzeŸniak,Wydzia³ Chemiczny,Katedra Systemów Decyzyjnych i Robotyki,profesor,marianna.zbrzeŸniak@studentbook.com
68,Olgierd,Hojka,Wydzia³ Mechaniczny,Katedra Algorytmów i Modelowania Systemów,profesor,olgierd.hojka@studentbook.com
69,Kamil,Ochab,Wydzia³ Elektrotechniki i Automatyki,Katedra Systemów Decyzyjnych i Robotyki,profesor,kamil.ochab@studentbook.com
70,Kaja,Humeniuk,Wydzia³ Fizyki Technicznej i Matematyki Stosowanej,Katedra Algorytmów i Modelowania Systemów,profesor,kaja.humeniuk@studentbook.com
71,Marcin,Mila,Wydzia³ Zarz¹dzania i Ekonomi,Katedra In¿ynierii Materia³ów Funkcjonalnych,doktor,marcin.mila@studentbook.com
72,Rozalia,£aciak,Wydzia³ Oceanotechniki i Okrêtownictwa,Katedra Sygna³ów i Systemów,in¿ynier,rozalia.³aciak@studentbook.com
73,Sylwia,Jarka,Wydzia³ Elektrotechniki i Automatyki,Katedra In¿ynierii Oprogramowania,doktor,sylwia.jarka@studentbook.com
74,Anna Maria,Boba,Wydzia³ Mechaniczny,Katedra Sygna³ów i Systemów,magister,anna maria.boba@studentbook.com
75,Blanka,Halik,Wydzia³ Zarz¹dzania i Ekonomi,Katedra Sygna³ów i Systemów,doktor,blanka.halik@studentbook.com
76,Sonia,Kazek,Wydzia³ Fizyki Technicznej i Matematyki Stosowanej,Katedra Metrologii i Optoelektroniki,doktor habilitowny,sonia.kazek@studentbook.com
77,Stanis³aw,Ciep³a,Wydzia³ Elektroniki Telekomunikacji i Informatyki,Katedra Systemów Geoinformatycznych,magister,stanis³aw.ciep³a@studentbook.com
78,Mi³osz,Opas,Wydzia³ Zarz¹dzania i Ekonomi,Katedra In¿ynierii Materia³ów Funkcjonalnych,magister,mi³osz.opas@studentbook.com
79,Emil,Bortkiewicz,Wydzia³ Elektroniki Telekomunikacji i Informatyki,Katedra Sieci Teleinformacyjnych,magister,emil.bortkiewicz@studentbook.com
80,Tomasz,Wawszczak,Wydzia³ Architektury,Katedra In¿ynierii Mikrofalowej i Antenowej,magister,tomasz.wawszczak@studentbook.com
81,Józef,Gros,Wydzia³ Elektrotechniki i Automatyki,Katedra In¿ynierii Biomedycznej,magister,józef.gros@studentbook.com
82,Olaf,Szemraj,Wydzia³ Elektrotechniki i Automatyki,Katedra In¿ynierii Materia³ów Funkcjonalnych,profesor,olaf.szemraj@studentbook.com
83,Borys,Bobko,Wydzia³ Chemiczny,Katedra Sygna³ów i Systemów,doktor habilitowny,borys.bobko@studentbook.com
84,Borys,Kuzior,Wydzia³ In¿ynierii L¹dowej i Œrodowiska,Katedra In¿ynierii Mikrofalowej i Antenowej,doktor,borys.kuzior@studentbook.com
85,Ewelina,Mirocha,Wydzia³ Oceanotechniki i Okrêtownictwa,Katedra Systemów Mikroelektronicznych,in¿ynier,ewelina.mirocha@studentbook.com
86,Fabian,Potaczek,Wydzia³ Architektury,Katedra Teleinformatyki,in¿ynier,fabian.potaczek@studentbook.com
87,Rozalia,Weso³y,Wydzia³ In¿ynierii L¹dowej i Œrodowiska,Katedra In¿ynierii Mikrofalowej i Antenowej,doktor habilitowny,rozalia.weso³y@studentbook.com
88,Tymoteusz,Czura,Wydzia³ Zarz¹dzania i Ekonomi,Katedra In¿ynierii Materia³ów Funkcjonalnych,doktor,tymoteusz.czura@studentbook.com
89,Rados³aw,Bilik,Wydzia³ Elektroniki Telekomunikacji i Informatyki,Katedra In¿ynierii Materia³ów Funkcjonalnych,magister,rados³aw.bilik@studentbook.com
90,Adam,Portka,Wydzia³ Architektury,Katedra Sygna³ów i Systemów,doktor habilitowny,adam.portka@studentbook.com
91,Patryk,Kurach,Wydzia³ Mechaniczny,Katedra Inteligentnych Systemów Interaktywnych,doktor,patryk.kurach@studentbook.com
92,Anastazja,Klyta,Wydzia³ Chemiczny,Katedra Systemów Geoinformatycznych,magister,anastazja.klyta@studentbook.com
93,Sara,Ryczko,Wydzia³ Elektrotechniki i Automatyki,Katedra In¿ynierii Oprogramowania,profesor,sara.ryczko@studentbook.com
94,Antoni,Nalewajko,Wydzia³ In¿ynierii L¹dowej i Œrodowiska,Katedra In¿ynierii Mikrofalowej i Antenowej,doktor,antoni.nalewajko@studentbook.com
95,Kalina,Pó³ch³opek,Wydzia³ Mechaniczny,Katedra Teleinformatyki,profesor,kalina.pó³ch³opek@studentbook.com
96,Urszula,Klinkosz,Wydzia³ Zarz¹dzania i Ekonomi,Katedra Systemów Decyzyjnych i Robotyki,profesor,urszula.klinkosz@studentbook.com
97,Kornelia,Krêgiel,Wydzia³ Elektrotechniki i Automatyki,Katedra Systemów Mikroelektronicznych,magister,kornelia.krêgiel@studentbook.com
98,Franciszek,Policht,Wydzia³ Oceanotechniki i Okrêtownictwa,Katedra Algorytmów i Modelowania Systemów,doktor habilitowny,franciszek.policht@studentbook.com
99,Mi³osz,Starostka,Wydzia³ Elektrotechniki i Automatyki,Katedra Systemów Geoinformatycznych,magister,mi³osz.starostka@studentbook.com
100,Tymoteusz,Orpel,Wydzia³ Architektury,Katedra In¿ynierii Oprogramowania,magister,tymoteusz.orpel@studentbook.com
101,Andrzej,Domka,Wydzia³ Mechaniczny,Katedra Systemów Decyzyjnych i Robotyki,doktor,andrzej.domka@studentbook.com
102,Eryk,Ha³ka,Wydzia³ Elektrotechniki i Automatyki,Katedra Inteligentnych Systemów Interaktywnych,doktor habilitowny,eryk.ha³ka@studentbook.com
103,Klara,Kontny,Wydzia³ Oceanotechniki i Okrêtownictwa,Katedra Sygna³ów i Systemów,doktor habilitowny,klara.kontny@studentbook.com
104,Tadeusz,Wac³aw,Wydzia³ Architektury,Katedra In¿ynierii Mikrofalowej i Antenowej,doktor,tadeusz.wac³aw@studentbook.com
105,Kajetan,Szwiec,Wydzia³ Chemiczny,Katedra Systemów i Sieci Radiokomunikacyjnych,doktor habilitowny,kajetan.szwiec@studentbook.com
106,B³a¿ej,Wawrzyñczyk,Wydzia³ Elektroniki Telekomunikacji i Informatyki,Katedra Systemów Multimedialnych,profesor,b³a¿ej.wawrzyñczyk@studentbook.com
107,Piotr,Skrzecz,Wydzia³ Fizyki Technicznej i Matematyki Stosowanej,Katedra Algorytmów i Modelowania Systemów,magister,piotr.skrzecz@studentbook.com
108,Alex,Kolarz,Wydzia³ Oceanotechniki i Okrêtownictwa,Katedra In¿ynierii Materia³ów Funkcjonalnych,profesor,alex.kolarz@studentbook.com
109,Gustaw,Buœ,Wydzia³ Elektroniki Telekomunikacji i Informatyki,Katedra Systemów Multimedialnych,in¿ynier,gustaw.buœ@studentbook.com
110,Konrad,Krzyka³a,Wydzia³ Oceanotechniki i Okrêtownictwa,Katedra In¿ynierii Materia³ów Funkcjonalnych,magister,konrad.krzyka³a@studentbook.com
111,Sebastian,Ankiewicz,Wydzia³ Chemiczny,Katedra Architektury Systemów Komputerowych,doktor habilitowny,sebastian.ankiewicz@studentbook.com
112,Alan,Zander,Wydzia³ Mechaniczny,Katedra In¿ynierii Oprogramowania,in¿ynier,alan.zander@studentbook.com
113,Szymon,Ho³ubowicz,Wydzia³ Elektrotechniki i Automatyki,Katedra Architektury Systemów Komputerowych,doktor,szymon.ho³ubowicz@studentbook.com
114,Przemys³aw,Hejduk,Wydzia³ Chemiczny,Katedra Teleinformatyki,doktor,przemys³aw.hejduk@studentbook.com
115,Borys,Stój,Wydzia³ Chemiczny,Katedra Teleinformatyki,doktor habilitowny,borys.stój@studentbook.com
116,Franciszek,Jaremek,Wydzia³ Chemiczny,Katedra Metrologii i Optoelektroniki,doktor habilitowny,franciszek.jaremek@studentbook.com
117,Tymoteusz,Muæko,Wydzia³ Fizyki Technicznej i Matematyki Stosowanej,Katedra In¿ynierii Oprogramowania,doktor,tymoteusz.muæko@studentbook.com
118,Alex,Mroczko,Wydzia³ Fizyki Technicznej i Matematyki Stosowanej,Katedra Systemów Geoinformatycznych,in¿ynier,alex.mroczko@studentbook.com
119,Damian,Malon,Wydzia³ Fizyki Technicznej i Matematyki Stosowanej,Katedra Inteligentnych Systemów Interaktywnych,doktor habilitowny,damian.malon@studentbook.com
120,Nataniel,£uksza,Wydzia³ Zarz¹dzania i Ekonomi,Katedra Algorytmów i Modelowania Systemów,profesor,nataniel.³uksza@studentbook.com
121,Malwina,Jakiel,Wydzia³ Zarz¹dzania i Ekonomi,Katedra Inteligentnych Systemów Interaktywnych,magister,malwina.jakiel@studentbook.com
122,Aleksander,Lorenz,Wydzia³ Elektrotechniki i Automatyki,Katedra Inteligentnych Systemów Interaktywnych,doktor,aleksander.lorenz@studentbook.com
123,Ewa,Opio³a,Wydzia³ Zarz¹dzania i Ekonomi,Katedra Architektury Systemów Komputerowych,profesor,ewa.opio³a@studentbook.com
124,Krzysztof,Szymocha,Wydzia³ Oceanotechniki i Okrêtownictwa,Katedra Systemów i Sieci Radiokomunikacyjnych,magister,krzysztof.szymocha@studentbook.com
125,Malwina,WlaŸlak,Wydzia³ Oceanotechniki i Okrêtownictwa,Katedra Systemów Geoinformatycznych,doktor,malwina.wlaŸlak@studentbook.com
126,Ryszard,Roj,Wydzia³ Chemiczny,Katedra Sieci Teleinformacyjnych,doktor,ryszard.roj@studentbook.com
127,Ernest,Bystrek,Wydzia³ Elektroniki Telekomunikacji i Informatyki,Katedra In¿ynierii Oprogramowania,doktor habilitowny,ernest.bystrek@studentbook.com
128,Nikodem,Cieciura,Wydzia³ Mechaniczny,Katedra In¿ynierii Oprogramowania,magister,nikodem.cieciura@studentbook.com
129,Tomasz,Kadela,Wydzia³ Architektury,Katedra Sieci Teleinformacyjnych,magister,tomasz.kadela@studentbook.com
130,Gabriel,Malisz,Wydzia³ Mechaniczny,Katedra Algorytmów i Modelowania Systemów,profesor,gabriel.malisz@studentbook.com
131,Aniela,Wiewiórka,Wydzia³ Chemiczny,Katedra Inteligentnych Systemów Interaktywnych,doktor habilitowny,aniela.wiewiórka@studentbook.com
132,Andrzej,Szlachcic,Wydzia³ Chemiczny,Katedra Systemów Geoinformatycznych,doktor habilitowny,andrzej.szlachcic@studentbook.com
133,Justyna,Jarka,Wydzia³ Elektrotechniki i Automatyki,Katedra Metrologii i Optoelektroniki,doktor,justyna.jarka@studentbook.com
134,Ada,Mikita,Wydzia³ Mechaniczny,Katedra Systemów Geoinformatycznych,magister,ada.mikita@studentbook.com
135,Jeremi,Lepak,Wydzia³ Zarz¹dzania i Ekonomi,Katedra Systemów Geoinformatycznych,profesor,jeremi.lepak@studentbook.com
136,Tobiasz,Bogaczyk,Wydzia³ Architektury,Katedra Systemów i Sieci Radiokomunikacyjnych,profesor,tobiasz.bogaczyk@studentbook.com
137,Albert,Gonet,Wydzia³ Elektrotechniki i Automatyki,Katedra Algorytmów i Modelowania Systemów,profesor,albert.gonet@studentbook.com
138,Angelika,Ciechowicz,Wydzia³ Zarz¹dzania i Ekonomi,Katedra Sieci Teleinformacyjnych,profesor,angelika.ciechowicz@studentbook.com
139,Rozalia,Malara,Wydzia³ In¿ynierii L¹dowej i Œrodowiska,Katedra Teleinformatyki,magister,rozalia.malara@studentbook.com
140,Cezary,Matla,Wydzia³ In¿ynierii L¹dowej i Œrodowiska,Katedra In¿ynierii Biomedycznej,doktor habilitowny,cezary.matla@studentbook.com
141,Oskar,Bukowiec,Wydzia³ Chemiczny,Katedra Architektury Systemów Komputerowych,profesor,oskar.bukowiec@studentbook.com
142,Antoni,Romejko,Wydzia³ Zarz¹dzania i Ekonomi,Katedra Systemów Decyzyjnych i Robotyki,profesor,antoni.romejko@studentbook.com
143,Krystyna,Janc,Wydzia³ Elektroniki Telekomunikacji i Informatyki,Katedra Inteligentnych Systemów Interaktywnych,doktor habilitowny,krystyna.janc@studentbook.com
144,Nela,Hejna,Wydzia³ Architektury,Katedra Systemów Multimedialnych,in¿ynier,nela.hejna@studentbook.com
145,Adam,Kierepka,Wydzia³ Architektury,Katedra In¿ynierii Oprogramowania,in¿ynier,adam.kierepka@studentbook.com
146,Konstanty,Getka,Wydzia³ Fizyki Technicznej i Matematyki Stosowanej,Katedra Algorytmów i Modelowania Systemów,doktor,konstanty.getka@studentbook.com
147,Maksymilian,Wydrych,Wydzia³ Mechaniczny,Katedra In¿ynierii Mikrofalowej i Antenowej,doktor habilitowny,maksymilian.wydrych@studentbook.com
148,El¿bieta,B¹czkiewicz,Wydzia³ Chemiczny,Katedra In¿ynierii Oprogramowania,doktor,el¿bieta.b¹czkiewicz@studentbook.com
149,Adrian,Szott,Wydzia³ Architektury,Katedra Systemów Mikroelektronicznych,doktor,adrian.szott@studentbook.com
150,Ignacy,Sobi³o,Wydzia³ Oceanotechniki i Okrêtownictwa,Katedra Algorytmów i Modelowania Systemów,doktor habilitowny,ignacy.sobi³o@studentbook.com
151,Mariusz,Pyda,Wydzia³ Elektrotechniki i Automatyki,Katedra Sieci Teleinformacyjnych,profesor,mariusz.pyda@studentbook.com
152,Pawe³,Kolanko,Wydzia³ Elektroniki Telekomunikacji i Informatyki,Katedra Metrologii i Optoelektroniki,doktor habilitowny,pawe³.kolanko@studentbook.com
153,Marcelina,Dziedzina,Wydzia³ Mechaniczny,Katedra Architektury Systemów Komputerowych,doktor,marcelina.dziedzina@studentbook.com
154,Karol,Borysewicz,Wydzia³ Elektroniki Telekomunikacji i Informatyki,Katedra Systemów i Sieci Radiokomunikacyjnych,doktor,karol.borysewicz@studentbook.com
155,Tadeusz,Sobstyl,Wydzia³ Elektroniki Telekomunikacji i Informatyki,Katedra Systemów Decyzyjnych i Robotyki,profesor,tadeusz.sobstyl@studentbook.com
156,Tola,Fulara,Wydzia³ Architektury,Katedra In¿ynierii Materia³ów Funkcjonalnych,profesor,tola.fulara@studentbook.com
157,Ewelina,Pasiut,Wydzia³ Mechaniczny,Katedra Sieci Teleinformacyjnych,magister,ewelina.pasiut@studentbook.com
158,Daniel,Olma,Wydzia³ Fizyki Technicznej i Matematyki Stosowanej,Katedra Metrologii i Optoelektroniki,doktor,daniel.olma@studentbook.com
159,Marika,Jama,Wydzia³ Architektury,Katedra In¿ynierii Biomedycznej,doktor,marika.jama@studentbook.com
160,Igor,Gajowiak,Wydzia³ Fizyki Technicznej i Matematyki Stosowanej,Katedra Sygna³ów i Systemów,profesor,igor.gajowiak@studentbook.com
161,Jan,Jachimczak,Wydzia³ Fizyki Technicznej i Matematyki Stosowanej,Katedra Systemów Mikroelektronicznych,in¿ynier,jan.jachimczak@studentbook.com
162,Antoni,Malcherek,Wydzia³ Chemiczny,Katedra Systemów Mikroelektronicznych,profesor,antoni.malcherek@studentbook.com
163,Nicole,Olbrych,Wydzia³ Elektroniki Telekomunikacji i Informatyki,Katedra Systemów Decyzyjnych i Robotyki,profesor,nicole.olbrych@studentbook.com
164,Marcelina,Parzyszek,Wydzia³ Fizyki Technicznej i Matematyki Stosowanej,Katedra Systemów Multimedialnych,profesor,marcelina.parzyszek@studentbook.com
165,Adrianna,So³tan,Wydzia³ Mechaniczny,Katedra Systemów Mikroelektronicznych,profesor,adrianna.so³tan@studentbook.com
166,Marianna,Nazarewicz,Wydzia³ Oceanotechniki i Okrêtownictwa,Katedra Teleinformatyki,in¿ynier,marianna.nazarewicz@studentbook.com
167,Piotr,Fyda,Wydzia³ Fizyki Technicznej i Matematyki Stosowanej,Katedra Inteligentnych Systemów Interaktywnych,in¿ynier,piotr.fyda@studentbook.com
168,Alan,Niko³ajuk,Wydzia³ In¿ynierii L¹dowej i Œrodowiska,Katedra Systemów Multimedialnych,magister,alan.niko³ajuk@studentbook.com
169,Rozalia,Panasiewicz,Wydzia³ Chemiczny,Katedra Algorytmów i Modelowania Systemów,doktor,rozalia.panasiewicz@studentbook.com
170,Andrzej,Godzisz,Wydzia³ Fizyki Technicznej i Matematyki Stosowanej,Katedra Architektury Systemów Komputerowych,magister,andrzej.godzisz@studentbook.com
171,Melania,Kosiak,Wydzia³ In¿ynierii L¹dowej i Œrodowiska,Katedra Metrologii i Optoelektroniki,doktor,melania.kosiak@studentbook.com
172,Norbert,Klin,Wydzia³ Oceanotechniki i Okrêtownictwa,Katedra Architektury Systemów Komputerowych,magister,norbert.klin@studentbook.com
173,Krystyna,Chomik,Wydzia³ Fizyki Technicznej i Matematyki Stosowanej,Katedra In¿ynierii Oprogramowania,profesor,krystyna.chomik@studentbook.com
174,Daniel,Knysak,Wydzia³ Zarz¹dzania i Ekonomi,Katedra Algorytmów i Modelowania Systemów,magister,daniel.knysak@studentbook.com
175,Klara,Piotrak,Wydzia³ Mechaniczny,Katedra Sieci Teleinformacyjnych,doktor,klara.piotrak@studentbook.com
176,Monika,Nieæko,Wydzia³ Elektroniki Telekomunikacji i Informatyki,Katedra Teleinformatyki,profesor,monika.nieæko@studentbook.com
177,Damian,Wowra,Wydzia³ Oceanotechniki i Okrêtownictwa,Katedra Architektury Systemów Komputerowych,doktor habilitowny,damian.wowra@studentbook.com
178,Fryderyk,Rz¹d,Wydzia³ Architektury,Katedra Algorytmów i Modelowania Systemów,doktor habilitowny,fryderyk.rz¹d@studentbook.com
179,Gaja,Nieradko,Wydzia³ Mechaniczny,Katedra Architektury Systemów Komputerowych,in¿ynier,gaja.nieradko@studentbook.com
