ID,Imie,Nazwisko,P³eæ,Data urodzenia,Adres
27,Ksawery,Mytnik,mê¿czyzna,1986-08-13,ul. Jadwigi 086 23-936 Gi¿ycko
28,Julian,Tabiœ,mê¿czyzna,1989-01-22,al. Skrajna 09 02-791 Sieradz
29,Iwo,Makie³a,mê¿czyzna,1998-10-29,pl. Jod³owa 153 20-624 W³oc³awek
30,El¿bieta,Wlaz³y,kobieta,2002-08-07,pl. Zwyciêstwa 09/80 48-169 Bia³ystok
31,Aleks,Wojnicz,mê¿czyzna,1996-11-10,plac Browarna 69 71-812 Gliwice
32,El¿bieta,Balas,kobieta,1994-05-04,ul. Strzelecka 81/32 54-185 Gorzów Wielkopolski
33,Justyna,Windak,kobieta,1989-12-17,al. Nowowiejska 67/72 25-999 Piastów
34,Kaja,Grupa,kobieta,1995-12-29,aleja Jab³oniowa 709 60-209 Skierniewice
35,Bruno,Rudowicz,mê¿czyzna,1984-07-12,ulica Promienna 048 84-158 Otwock
36,Bruno,Steciuk,mê¿czyzna,2001-03-30,pl. Harcerska 81 33-138 Racibórz
37,Bruno,Wabik,mê¿czyzna,1988-02-22,pl. ¯abia 994 33-643 Leszno
38,Maciej,B¹czkiewicz,mê¿czyzna,2000-10-17,al. Malczewskiego 399 15-165 Bielsko-Bia³a
39,Jerzy,Judek,mê¿czyzna,2004-12-24,ulica Szczêœliwa 36/12 09-812 Jawor
40,Kamil,Wandas,mê¿czyzna,1995-05-24,al. Leszczynowa 16/38 31-482 Jastrzêbie-Zdrój
41,Sara,Chwedczuk,kobieta,1988-10-26,al. Wojciecha 62 41-054 Grudzi¹dz
42,Krzysztof,Stebel,mê¿czyzna,2001-02-17,ul. Kraszewskiego 78/92 61-720 Rumia
43,Ignacy,Teter,mê¿czyzna,1998-03-10,ulica Odrzañska 764 25-997 Miko³ów
44,Robert,Bytner,mê¿czyzna,1998-09-27,al. Jaworowa 10 66-717 Zamoœæ
45,Mariusz,Je¿yk,mê¿czyzna,1985-10-22,pl. Truskawkowa 25/12 51-404 Augustów
46,Dawid,Smalec,mê¿czyzna,2004-10-25,pl. Pszenna 85 93-165 Racibórz
47,Ró¿a,Tymczyszyn,kobieta,2004-07-04,ulica D¹browskiego 73 86-696 Bydgoszcz
48,Pawe³,Matuszyk,mê¿czyzna,1992-07-05,pl. Sk³adowa 68 32-837 Chorzów
49,Fryderyk,Zagozda,mê¿czyzna,1989-05-22,ulica Wiœniowa 543 97-976 I³awa
50,Aurelia,Samul,kobieta,2002-07-09,ul. Baczynskiego 62 67-009 Radomsko
51,Ewa,T³uczek,kobieta,1998-09-06,ul. Koœciuszki 25/56 20-151 Wa³brzych
52,Kamil,Wittbrodt,mê¿czyzna,1991-09-01,ul. Wierzbowa 17/08 47-162 Toruñ
53,Kacper,Cetera,mê¿czyzna,2005-11-15,ulica Piastowska 83 84-592 Otwock
54,Sara,Pusz,kobieta,1989-02-24,plac Parkowa 339 47-146 Kalisz
55,Bianka,Wawrzyñczyk,kobieta,1986-03-04,al. Topolowa 310 90-077 Lubin
56,Micha³,Troka,mê¿czyzna,1990-04-20,aleja Turkusowa 81 77-452 Œwiebodzice
57,Marcelina,Myszor,kobieta,1993-11-19,ulica Warszawska 956 28-744 Bêdzin
58,Monika,Furga³a,kobieta,2000-05-01,plac Wolnoœci 733 31-781 Kraœnik
59,Adam,Popielarczyk,mê¿czyzna,2000-08-17,al. Hutnicza 903 05-326 Piastów
60,Borys,Peda,mê¿czyzna,2001-02-07,ul. Pogodna 22/85 73-728 Nowy Dwór Mazowiecki
61,Leonard,Gradek,mê¿czyzna,1996-05-03,pl. Hallera 67/63 71-493 Jelenia Góra
62,Robert,Bujas,mê¿czyzna,1994-05-25,pl. Jadwigi 66/42 62-156 Chrzanów
63,Oliwier,Kwinta,mê¿czyzna,1997-05-27,ul. Jadwigi 874 46-955 Ostróda
64,Wiktor,Poreda,mê¿czyzna,1999-08-18,ulica Miarki 67 91-633 Kwidzyn
65,Fabian,Puch,mê¿czyzna,2004-06-17,ul. Strumykowa 73/75 60-552 M³awa
66,Dorota,Tylek,kobieta,1996-01-28,aleja Koralowa 89/19 69-986 Koœcierzyna
67,Mateusz,Citko,mê¿czyzna,1994-01-24,al. Rolna 88 68-240 Zgorzelec
68,Sebastian,Ludwisiak,mê¿czyzna,1997-06-22,al. Tuwima 240 02-593 Nowy S¹cz
69,Stefan,Mytnik,mê¿czyzna,1985-03-09,ulica Nieca³a 81 83-532 Rzeszów
70,Rozalia,Wiel¹dek,kobieta,1994-03-07,ul. Lawendowa 11 87-186 Koszalin
71,Apolonia,Duczmal,kobieta,1993-12-09,aleja Mi³osza 52 66-847 Koszalin
72,Bianka,Pabis,kobieta,1992-01-21,ul. Jasna 836 78-671 Skar¿ysko-Kamienna
73,Angelika,Jêdrusiak,kobieta,1991-12-11,ulica Stroma 08 82-053 Gniezno
74,Ada,Dêbosz,kobieta,1993-11-29,al. S³onecznikowa 257 37-972 Zduñska Wola
75,Marek,Sznura,mê¿czyzna,1986-08-19,ulica Niepodleg³oœci 68 02-964 Wejherowo
76,Melania,Wlaz³y,kobieta,1998-06-06,ul. Jeziorna 23/67 63-025 W¹growiec
77,Tomasz,Szklarek,mê¿czyzna,2002-07-19,aleja Jeziorna 79 33-620 Kêtrzyn
78,Antoni,Imiela,mê¿czyzna,2000-01-18,pl. Kochanowskiego 03/47 45-591 Lublin
79,Aleksander,Heba,mê¿czyzna,2003-09-05,ul. Po³udniowa 63/56 66-475 Chojnice
80,Justyna,Kasperczak,kobieta,1988-02-12,ulica Azaliowa 395 75-891 Tczew
81,Piotr,Dr¹¿yk,mê¿czyzna,1987-11-12,aleja Sybiraków 36/57 90-909 Siemianowice Œl¹skie
82,Borys,Symonowicz,mê¿czyzna,1996-12-14,plac Wybickiego 86/27 22-747 Kutno
83,Sebastian,Kosz,mê¿czyzna,2004-08-12,plac Jana Paw³a II 908 08-315 Bia³a Podlaska
84,Adrian,Senger,mê¿czyzna,1994-10-15,pl. Zakole 23/73 40-618 Legionowo
85,Marcin,Staciwa,mê¿czyzna,1998-09-22,pl. Prosta 245 97-893 Pruszcz Gdañski
86,Eryk,Kusio,mê¿czyzna,1997-09-19,aleja Jasna 02/25 52-846 Chrzanów
87,Stefan,Majtyka,mê¿czyzna,1999-08-10,ulica Che³moñskiego 96 60-397 Sosnowiec
88,Franciszek,Matyka,mê¿czyzna,1990-08-20,ul. Kolorowa 55 78-690 Brodnica
89,Ignacy,Torbus,mê¿czyzna,1999-04-16,al. Jesionowa 74/06 56-389 Kluczbork
90,Jan,Kurda,mê¿czyzna,1992-06-06,plac Z³ota 30 21-500 Tarnobrzeg
91,Kaja,Teter,kobieta,1999-09-25,ul. Szymanowskiego 918 17-870 Bielsko-Bia³a
92,Jakub,Sereda,mê¿czyzna,1996-09-16,ulica Korczaka 73 99-655 Gorzów Wielkopolski
93,Micha³,Maciejuk,mê¿czyzna,1984-07-12,pl. Konarskiego 25 82-992 Warszawa
94,Janina,¯ó³kiewicz,kobieta,1996-09-21,al. Agrestowa 457 03-759 Zgierz
95,Oskar,Gogó³,mê¿czyzna,1997-11-21,ulica Pó³nocna 36 35-458 Gdynia
96,Dorota,Rejniak,kobieta,2003-11-08,ulica Kruczkowskiego 16 49-190 Olsztyn
97,Nikodem,Mazan,mê¿czyzna,1996-12-22,plac Orkana 69 24-392 Oœwiêcim
98,Nataniel,Lemiesz,mê¿czyzna,1997-07-04,pl. Zamkowa 722 87-176 Lubartów
99,Dominik,Stanis³awek,mê¿czyzna,1996-08-10,al. Piwna 232 88-208 Tomaszów Mazowiecki
100,Krzysztof,Kolarz,mê¿czyzna,1991-08-24,pl. Korfantego 13 61-040 Ostrów Mazowiecka
101,Kornelia,Klyszcz,kobieta,1997-01-10,aleja G³owackiego 33/18 17-600 Wrzeœnia
102,Leonard,Guzdek,mê¿czyzna,2004-07-28,pl. Warszawska 89/40 72-613 Jelenia Góra
103,Agnieszka,Ma³as,kobieta,2005-11-03,ul. Brzozowa 43 31-433 Starogard Gdañski
104,Urszula,Olszowa,kobieta,1997-12-22,ulica Kochanowskiego 984 38-324 Ruda Œl¹ska
105,Jêdrzej,Bodzak,mê¿czyzna,1986-04-20,ulica Stycznia 44/39 63-345 Gorzów Wielkopolski
106,Mieszko,Gierek,mê¿czyzna,1987-03-15,aleja Dworska 20 71-952 Bielsko-Bia³a
107,£ukasz,Hrabia,mê¿czyzna,1998-11-17,ul. Jod³owa 58/24 39-654 Piekary Œl¹skie
108,Tomasz,Kominiak,mê¿czyzna,1996-05-27,aleja M³ynarska 97/22 19-569 Sieradz
109,Jacek,Sza³aj,mê¿czyzna,1998-11-04,ulica Wiejska 75/94 73-661 Nowa Ruda
110,Artur,Opas,mê¿czyzna,1999-01-22,al. Spó³dzielcza 35 61-395 W³oc³awek
111,B³a¿ej,Grabczak,mê¿czyzna,2002-10-07,al. Powstañców Wielkopolskich 21/74 63-386 Rybnik
112,Wiktor,Maksimowicz,mê¿czyzna,1989-04-19,aleja Osiedlowa 672 68-621 Wo³omin
113,Julianna,Dziugie³,kobieta,1984-06-02,ul. Kolejowa 13/27 87-056 Krosno
114,Sebastian,Ma³y,mê¿czyzna,2005-02-05,aleja Szymanowskiego 99/78 61-042 Wo³omin
115,Inga,Juszczuk,kobieta,1993-08-26,plac Okulickiego 95 29-866 Skawina
116,Stefan,Kus,mê¿czyzna,2003-03-22,al. Browarna 367 28-017 Nysa
117,El¿bieta,Zbroszczyk,kobieta,1987-04-18,pl. Kreta 02/55 37-863 Kutno
118,Krystyna,Przenios³o,kobieta,1994-04-19,ulica Baczynskiego 82 40-575 Nowa Sól
119,Leon,Kozieñ,mê¿czyzna,1988-02-27,aleja W³adys³awa Jagie³³y 973 26-902 ¯ory
120,Sara,Nazarewicz,kobieta,1984-10-30,aleja Zielna 377 06-568 Grudzi¹dz
121,Ryszard,Frelek,mê¿czyzna,1996-02-25,aleja Lazurowa 66 90-839 Augustów
122,Dagmara,Kempny,kobieta,1988-06-29,ul. ¯urawia 11 66-624 Olkusz
123,Wojciech,Giedrojæ,mê¿czyzna,1991-06-08,ulica £¹kowa 60/20 42-760 Wyszków
124,Tola,Mysior,kobieta,1996-09-06,al. Konwaliowa 952 12-140 Nowa Sól
125,Agnieszka,Biesek,kobieta,1997-02-01,ulica Chmielna 530 91-137 Œwidnica
126,Sandra,Dziadkowiec,kobieta,1990-08-20,ulica Ludowa 35 28-470 Katowice
127,Maciej,Szmagaj,mê¿czyzna,1993-08-19,al. Modrzewiowa 441 10-804 Bartoszyce
128,Dorota,Maruszczak,kobieta,1986-08-15,ul. Skargi 39 95-066 Augustów
129,Marcin,Maciejewicz,mê¿czyzna,1988-06-20,pl. ¯ytnia 509 45-526 Oœwiêcim
130,Olgierd,Stranc,mê¿czyzna,1983-06-26,aleja Wyszyñskiego 65 44-052 Czêstochowa
131,Dawid,Œcibior,mê¿czyzna,1986-09-14,pl. ¯abia 57 20-792 Kêtrzyn
132,Albert,Kielich,mê¿czyzna,1983-04-12,plac Rumiankowa 82/84 34-301 Brodnica
133,Inga,Wochna,kobieta,1999-04-13,al. Zakole 513 62-515 Jaros³aw
134,Marianna,Wawryniuk,kobieta,2004-05-24,ul. Jod³owa 62 41-700 Pabianice
135,Klara,Mordal,kobieta,1996-07-09,ulica Bukowa 697 51-585 Œwiecie
136,Olgierd,S³upik,mê¿czyzna,1989-04-07,ulica Rybacka 90 14-391 Szczecin
137,Maks,Ka³ek,mê¿czyzna,1989-09-19,pl. Wierzbowa 59/93 04-490 Sandomierz
138,Aniela,Jachimczak,kobieta,2000-05-29,plac Zau³ek 03 95-875 Sopot
139,Krzysztof,Worach,mê¿czyzna,1991-07-24,pl. Konstytucji 3 Maja 02/16 77-192 Sochaczew
140,Norbert,D¹brówka,mê¿czyzna,1999-03-30,aleja Kamienna 96/30 64-319 Zambrów
141,Ernest,Szyma³a,mê¿czyzna,1994-08-01,pl. Cyprysowa 65/01 60-110 Toruñ
142,Nela,Paszkowiak,kobieta,2004-06-02,plac Cicha 78/80 41-354 Gi¿ycko
143,El¿bieta,Wasiewicz,kobieta,2002-12-24,aleja Wiklinowa 01 12-219 Piastów
144,Anastazja,Kamieniak,kobieta,2000-02-11,ul. Orla 60/26 09-543 Olkusz
145,Ernest,Ko³ton,mê¿czyzna,2004-04-07,al. Mazowiecka 826 02-310 Nysa
146,Artur,Gajowiak,mê¿czyzna,1994-01-31,pl. Narutowicza 60/35 16-256 P³oñsk
147,Olaf,Drop,mê¿czyzna,1984-02-17,al. W³adys³awa Jagie³³y 48/26 40-483 Nowy Dwór Mazowiecki
148,Damian,Jarczyk,mê¿czyzna,2004-03-29,aleja Poprzeczna 28/87 04-129 Zabrze
149,Maciej,Brachman,mê¿czyzna,1990-03-14,pl. Robotnicza 59/43 21-708 Malbork
150,Marcelina,Dziuban,kobieta,2001-05-03,ul. Pogodna 63/86 86-993 Piaseczno
151,Nataniel,Dziopa,mê¿czyzna,1985-10-01,ul. Stycznia 646 65-052 Z¹bki
152,Borys,Szkaradek,mê¿czyzna,1993-07-14,aleja D¹browskiego 41/98 14-471 Tychy
153,Fryderyk,Buszko,mê¿czyzna,1992-08-31,aleja Batalionów Ch³opskich 17/82 17-362 Nowy Targ
154,Maurycy,Ch³¹d,mê¿czyzna,2004-07-08,plac Bociania 37/32 63-958 Jaworzno
155,Aleks,Was¹¿nik,mê¿czyzna,1996-06-03,ulica Wysoka 178 54-694 Boles³awiec
156,Gustaw,Maciejewicz,mê¿czyzna,1996-05-29,aleja Sikorskiego 12 94-865 Sosnowiec
157,Ada,Tytko,kobieta,1994-10-31,pl. Królewska 526 91-023 Jaworzno
158,Dorota,P³aneta,kobieta,2002-10-22,pl. Kwiatowa 58/99 01-150 Chrzanów
159,Krzysztof,Sypek,mê¿czyzna,1986-07-26,ul. Piaskowa 06 85-217 I³awa
160,Arkadiusz,Basaj,mê¿czyzna,1995-04-27,pl. Jesionowa 13/60 62-238 Legnica
161,Patryk,Wojs³aw,mê¿czyzna,2002-09-07,aleja S³oneczna 67/73 97-984 Nowa Ruda
162,Aleksander,Skupin,mê¿czyzna,1993-02-25,pl. Ciasna 06/28 03-211 Racibórz
163,Leon,Trzos,mê¿czyzna,1996-10-19,ulica Wróblewskiego 98/34 59-994 Gdynia
164,Wiktor,Tuzimek,mê¿czyzna,1996-08-25,ul. Krokusowa 08/00 78-760 Nowa Ruda
165,Sylwia,Pacholik,kobieta,2000-07-27,plac Czereœniowa 69/18 09-057 Grudzi¹dz
166,Albert,Pabis,mê¿czyzna,1988-11-06,ulica Wypoczynkowa 82 43-313 Wroc³aw
167,Kamila,Buczma,kobieta,2000-12-02,aleja Pszenna 747 26-041 Wejherowo
168,Ewa,Muzyk,kobieta,1997-07-07,pl. Chabrowa 497 42-052 Gliwice
169,Dorota,Golon,kobieta,1985-01-20,aleja Rolnicza 71 78-637 Nowy Dwór Mazowiecki
170,Adrian,Hetmañczyk,mê¿czyzna,2001-08-29,al. Sarnia 20/31 73-087 Zduñska Wola
171,Konstanty,Drobot,mê¿czyzna,1991-05-07,al. Jadwigi 20/33 02-890 Zielona Góra
172,Rozalia,Mroczko,kobieta,1995-12-25,plac Letniskowa 98/17 12-833 Zabrze
173,Agnieszka,Wielgat,kobieta,1986-03-27,al. Szczêœliwa 82/10 39-350 Nowy Dwór Mazowiecki
174,Artur,Orkisz,mê¿czyzna,2005-04-30,aleja Szarych Szeregów 56/98 93-390 Gdynia
175,Aleks,Boguœ,mê¿czyzna,1983-12-01,pl. Œciegiennego 277 35-497 CzeladŸ
176,Ryszard,Koœæ,mê¿czyzna,2003-01-06,pl. Zau³ek 521 67-620 Turek
177,Olaf,Jaszczyszyn,mê¿czyzna,1995-10-31,ul. Œciegiennego 891 60-702 Legnica
178,Artur,Burdach,mê¿czyzna,1987-09-12,ul. Brzechwy 78/49 27-570 Bêdzin
179,Patryk,Janiszek,mê¿czyzna,1984-03-14,ul. Klonowa 27/72 31-372 Oleœnica
180,Kajetan,Tadla,mê¿czyzna,2005-11-21,aleja Leszczynowa 13/95 39-294 Boles³awiec
181,Nikodem,Kutek,mê¿czyzna,1990-05-29,aleja Dworska 65/62 61-213 Œwiebodzice
182,Kalina,Burchard,kobieta,1991-06-29,ul. Nowowiejska 32 96-785 Jaros³aw
183,Ewelina,Szemraj,kobieta,2002-03-16,aleja Bankowa 92 73-022 Rumia
184,Jeremi,Kliber,mê¿czyzna,2000-02-05,ulica Jesienna 70/61 90-870 Pu³awy
185,Olga,Michnowicz,kobieta,1987-04-26,pl. Armii Krajowej 35 51-601 Swarzêdz
186,Klara,Œwiêtoñ,kobieta,1992-02-16,aleja Kossaka 41 82-342 ¯ywiec
187,Maciej,Nó¿ka,mê¿czyzna,1989-11-06,plac Sk³adowa 92/66 38-093 Œwidnik
188,Maksymilian,Podkowa,mê¿czyzna,1987-03-06,aleja Bukowa 996 18-286 Che³m
189,Norbert,Seidel,mê¿czyzna,1998-08-22,pl. Wiœniowa 855 59-297 Szczytno
190,Gabriel,Idec,mê¿czyzna,2000-10-13,plac Strumykowa 227 45-902 Myszków
191,Rados³aw,Macias,mê¿czyzna,2003-07-05,pl. Dworska 26/32 48-490 Wo³omin
192,Stanis³aw,Szymonik,mê¿czyzna,2004-06-30,ul. Wczasowa 96/56 71-930 Ko³obrzeg
193,Miko³aj,Elwart,mê¿czyzna,1987-06-04,ulica Sowia 22 76-187 Dêbica
194,Inga,Waszczyk,kobieta,2001-12-30,ulica Wiklinowa 719 52-004 K³odzko
195,Ada,Rezmer,kobieta,1983-07-30,ulica Cegielniana 759 90-984 Grodzisk Mazowiecki
196,Kamil,Dyka,mê¿czyzna,2003-12-18,ul. S³oneczna 064 08-490 Zgierz
197,Szymon,Potoczna,mê¿czyzna,1986-09-04,aleja Okulickiego 923 14-223 Dzier¿oniów
198,Arkadiusz,Milej,mê¿czyzna,1997-05-21,al. Okrzei 48 03-316 Augustów
199,Aurelia,Ellwart,kobieta,1996-12-04,aleja Owocowa 72 83-211 Malbork
200,Nela,Wojnicz,kobieta,2003-08-28,pl. Toruñska 55 26-955 Miko³ów
201,Gabriel,Hein,mê¿czyzna,1999-11-06,ul. Letniskowa 75/83 43-999 Ostrów Mazowiecka
202,Mariusz,Plaskota,mê¿czyzna,1998-08-01,ul. Promienna 67 54-461 Reda
203,Kalina,Grabczak,kobieta,2001-04-09,ul. Cisowa 942 86-661 Ostro³êka
204,Karol,Godzwon,mê¿czyzna,1996-07-20,aleja Wyspiañskiego 04/75 47-930 Sopot
205,Miko³aj,Pierzak,mê¿czyzna,1998-12-30,ul. Koœciuszki 07 48-476 Polkowice
206,Borys,Jantos,mê¿czyzna,1989-02-01,aleja Morelowa 62/70 01-754 Kwidzyn
207,Aurelia,Pude³ek,kobieta,1984-06-09,pl. Traugutta 456 99-724 Radom
208,Kacper,Ryznar,mê¿czyzna,1994-04-11,ul. Jasna 79 06-990 Chojnice
209,Maks,Protasiuk,mê¿czyzna,1991-10-21,ulica Brzechwy 305 81-911 Pszczyna
210,Aurelia,Graboœ,kobieta,1995-05-11,ulica Morcinka 83/98 70-461 Koszalin
211,Miko³aj,Heleniak,mê¿czyzna,1997-08-04,plac Kopernika 067 26-142 Zielona Góra
212,Adam,Zaniewicz,mê¿czyzna,1989-01-12,ulica Sportowa 72 63-008 ¯yrardów
213,Kalina,Cylwik,kobieta,1997-07-10,ulica Tulipanowa 61/35 96-617 Bartoszyce
214,Ryszard,G³adka,mê¿czyzna,1996-05-20,al. Witosa 33/51 72-595 Cieszyn
215,Leonard,Frycz,mê¿czyzna,2005-08-18,ulica Stra¿acka 21/49 93-275 Zakopane
216,Kamil,Ziêtal,mê¿czyzna,2000-04-25,plac £¹kowa 99/18 16-068 Radom
217,Ada,Smyka³a,kobieta,1997-03-03,al. Konarskiego 40/58 91-829 Ko³obrzeg
218,Witold,Steckiewicz,mê¿czyzna,1985-06-12,pl. Wiœniowa 76/45 47-447 Boles³awiec
219,Ernest,Stranc,mê¿czyzna,1998-12-01,plac Czereœniowa 68 33-022 Tychy
220,Adrianna,Miêtka,kobieta,1995-03-01,aleja Kaliska 536 04-513 Zgierz
221,Kornel,Lenarcik,mê¿czyzna,1997-05-30,plac Parkowa 848 09-915 Ostróda
222,Szymon,Rochowiak,mê¿czyzna,1992-05-05,ul. G³ogowa 775 92-316 Oleœnica
223,Marianna,Koz³owicz,kobieta,1996-08-14,aleja Poznañska 282 27-059 Siedlce
224,Olaf,Sznura,mê¿czyzna,1986-06-16,pl. Kazimierza Wielkiego 02/89 70-701 Zakopane
225,Ró¿a,Szatko,kobieta,1992-11-04,aleja Pszenna 656 17-597 Zgierz
226,Dawid,Prochownik,mê¿czyzna,2001-11-16,al. Wybickiego 41 16-378 Pszczyna
227,Adrianna,Pyzel,kobieta,1987-12-26,pl. Stawowa 65 83-143 Wieluñ
228,Witold,Bajko,mê¿czyzna,1996-08-27,al. Wierzbowa 51/82 25-212 Chrzanów
229,Szymon,Borzym,mê¿czyzna,1990-04-06,ulica ¯eglarska 99 52-073 Radom
230,Damian,Kafel,mê¿czyzna,2001-08-07,ulica Sikorskiego 82/51 11-551 Kwidzyn
231,Nela,Wielgo,kobieta,1991-10-24,al. Je¿ynowa 45 56-919 Koœcian
232,Andrzej,Roszko,mê¿czyzna,1990-08-22,plac S³owackiego 46/83 60-065 Bia³a Podlaska
233,Emil,Œwiæ,mê¿czyzna,1983-07-11,pl. Sybiraków 41 81-824 Piotrków Trybunalski
234,Tymoteusz,Miotke,mê¿czyzna,1995-11-19,al. Wroc³awska 862 47-497 Oleœnica
235,Fabian,Wudarczyk,mê¿czyzna,1994-01-03,plac Spó³dzielcza 53 75-122 Mielec
236,Arkadiusz,Gradek,mê¿czyzna,1989-03-27,pl. Majowa 47 98-757 Lublin
237,Józef,Jêdrusiak,mê¿czyzna,2001-03-30,aleja Stawowa 91/10 99-583 Œwidnik
238,Cyprian,Oleksiewicz,mê¿czyzna,1987-12-13,aleja Topolowa 15 16-106 Oleœnica
239,Bartek,Patyna,mê¿czyzna,1996-06-12,pl. Staffa 70 55-389 Grodzisk Mazowiecki
240,Robert,Frelek,mê¿czyzna,2004-07-05,aleja Kolonia 764 62-232 Oœwiêcim
241,Jakub,Barszczak,mê¿czyzna,1985-11-11,aleja Cmentarna 99/68 41-349 Przemyœl
242,Kalina,Jaszczyszyn,kobieta,1991-04-09,al. Korfantego 54 55-393 Œwiêtoch³owice
243,Juliusz,Schubert,mê¿czyzna,1989-06-08,ul. Wiœlana 088 81-178 ¯yrardów
244,Klara,Ferdyn,kobieta,1989-10-18,plac Kalinowa 42 94-889 Racibórz
245,Sandra,Kaluga,kobieta,1985-05-09,al. Bankowa 94 07-643 Piastów
246,Nikodem,Franków,mê¿czyzna,2001-10-19,ul. Wyszyñskiego 291 16-268 ¯agañ
247,B³a¿ej,Trznadel,mê¿czyzna,1990-10-08,aleja Olchowa 00/87 58-007 Nowy Targ
248,Borys,Majczyna,mê¿czyzna,1992-03-12,aleja Œrodkowa 827 84-086 Otwock
249,Mi³osz,Pa³ac,mê¿czyzna,1988-07-16,ulica Szpitalna 179 41-840 Reda
250,Mi³osz,Bryda,mê¿czyzna,1997-03-31,al. £abêdzia 07 09-439 Legionowo
251,Liwia,Chomik,kobieta,2005-10-30,pl. Zwyciêstwa 08/59 22-516 Legnica
252,Wojciech,Block,mê¿czyzna,2002-01-19,ulica Lisia 027 83-179 Wroc³aw
253,Artur,Mica³,mê¿czyzna,2001-09-20,al. Orkana 72/41 55-209 Rzeszów
254,Daniel,Ceynowa,mê¿czyzna,1990-03-01,al. Zachodnia 031 09-973 Legionowo
255,Filip,Witka,mê¿czyzna,1992-11-20,plac Chopina 97 43-638 Koszalin
256,Jêdrzej,Zyga,mê¿czyzna,1994-09-03,ul. Asnyka 42/74 59-333 Ko³o
257,Sylwia,Soliwoda,kobieta,1988-05-27,aleja Tysi¹clecia 712 02-579 Reda
258,Emil,Zwi¹zek,mê¿czyzna,1990-02-22,aleja ¯wirki i Wigury 04 73-951 Malbork
259,Krystyna,Mosur,kobieta,1999-08-11,plac Pomorska 69/42 37-659 Pszczyna
260,Adrian,S³upek,mê¿czyzna,1986-03-23,ul. Toruñska 150 99-324 Jaworzno
261,£ukasz,Kornak,mê¿czyzna,1991-12-21,al. Pa³acowa 730 91-893 Knurów
262,Alex,Jachimczyk,mê¿czyzna,1997-07-28,al. Bukowa 646 03-843 Zielona Góra
263,Maksymilian,Kutera,mê¿czyzna,2000-12-16,pl. Wschodnia 279 02-854 Nowa Ruda
264,Micha³,£aciak,mê¿czyzna,1991-03-16,ul. Topolowa 76 18-377 Rumia
265,Kazimierz,Szlêk,mê¿czyzna,1985-09-09,ulica Rózana 290 49-059 £om¿a
266,Kamila,Siarkiewicz,kobieta,1998-10-01,ulica Jesienna 04 73-806 Œwiecie
267,Roksana,Golus,kobieta,1984-07-08,plac Krasickiego 67/28 80-733 Ciechanów
268,Eryk,Kazubek,mê¿czyzna,1986-02-19,al. Nieca³a 473 58-551 Kwidzyn
